customer_id,birth_year,region,employment_status,annual_income_eur,months_with_bank,home_ownership
C000162,1994,South,Salaried,29963.23,29,Owner
C000163,1983,South,Salaried,42414.74,29,Mortgage
C000164,1980,North,Self-employed,74623.44,74,Mortgage
C000165,1996,East,Salaried,29725.07,56,Mortgage
C000166,1973,South,Salaried,34051.7,160,Other
C000167,1979,South,Salaried,62829.45,215,Tenant
C000168,1977,South,Salaried,16000,70,Tenant
C000169,1976,South,Salaried,39626.77,235,Tenant
C000170,1977,West,Self-employed,25274.78,198,Mortgage
C000171,1984,West,Self-employed,35088.81,44,Mortgage
C000172,1994,East,Salaried,35361.3,118,Tenant
C000173,1970,East,Salaried,40411.79,90,Mortgage
C000174,1978,West,Salaried,51953.25,58,Mortgage
C000175,2004,East,Salaried,40701.22,169,Mortgage
C000176,1975,South,Salaried,21040.57,67,Mortgage
C000177,1971,West,Salaried,41490.16,50,Mortgage
C000178,1981,East,Salaried,97345.38,221,Mortgage
C000179,1967,West,Salaried,34223.24,132,Mortgage
C000180,1951,South,Salaried,67971.53,14,Mortgage
C000181,1978,West,Self-employed,16659.83,167,Mortgage
C000182,1992,Central,Salaried,49469.2,137,Other
C000183,1950,West,Retired,16482.47,131,Owner
C000184,1963,Central,Self-employed,71161.73,122,Other
C000185,1980,East,Self-employed,44264.05,60,Mortgage
C000186,1995,Central,Retired,60131.3,115,Owner
C000187,1990,Central,Contract,22580.4,48,Owner
C000188,2004,East,Salaried,30939.24,119,Owner
C000189,2004,North,Salaried,56885.9,204,Tenant
C000190,1990,West,Salaried,54731.14,95,Other
C000191,1961,Central,Salaried,56785.45,174,Tenant
C000192,1990,South,Self-employed,147766.64,169,Mortgage
C000193,1994,North,Salaried,33220.89,21,Other
C000194,1980,North,Salaried,37473.23,26,Mortgage
C000195,1948,North,Self-employed,114127.56,28,Tenant
C000196,1979,South,Self-employed,49664.34,101,Owner
C000197,1983,East,Salaried,49585.65,151,Owner
C000198,1970,Central,Salaried,26439.0,15,Mortgage
C000199,1981,North,Salaried,27304.51,211,Mortgage
C000200,1983,South,Self-employed,42355.94,206,Mortgage
C000201,2000,South,Self-employed,65491.98,94,Tenant
C000202,1986,South,Salaried,16000,222,Mortgage
C000203,2004,South,Retired,16000,72,Tenant
C000204,1970,East,Salaried,29129.87,224,Owner
C000205,1993,South,Salaried,68890.83,137,Owner
C000206,1974,North,Retired,36050.22,205,Other
C000207,1982,Central,Self-employed,54449.37,218,Tenant
C000208,1986,South,Salaried,65999.95,238,Owner
C000209,1980,South,Salaried,35275.18,41,Mortgage
C000210,1972,West,Salaried,25131.94,94,Tenant
C000211,2004,South,Salaried,51304.44,214,Tenant
C000212,1973,East,Salaried,34237.53,186,Tenant
C000213,1994,North,Salaried,30471.64,240,Mortgage
C000214,1984,West,Salaried,24288.33,175,Mortgage
C000215,1996,North,Contract,43637.87,84,Tenant
C000216,2002,West,Self-employed,53235.67,169,Mortgage
C000217,1987,South,Retired,30859.52,33,Tenant
C000218,1997,West,Salaried,73886.89,153,Tenant
C000219,1971,North,Salaried,32183.68,158,Other
C000220,1960,West,Salaried,39551.45,82,Owner
C000221,1991,North,Salaried,63941.99,222,Owner
C000222,1999,South,Salaried,41394.35,220,Owner
C000223,1977,Central,Salaried,141843.81,215,Mortgage
C000224,2003,North,Salaried,52168.5,60,Tenant
C000225,1986,East,Contract,32682.39,229,Owner
C000226,1978,North,Salaried,27085.16,109,Owner
C000227,1987,East,Salaried,20566.4,184,Tenant
C000228,1996,South,Self-employed,54630.14,130,Tenant
C000229,1991,Central,Salaried,46729.01,186,Owner
C000230,2004,East,Self-employed,33490.39,147,Mortgage
C000231,1947,Central,Salaried,41730.18,171,Owner
C000232,1991,Central,Contract,49737.86,63,Owner
C000233,1984,East,Salaried,102932.44,175,Other
C000234,1988,South,Self-employed,48808.65,173,Tenant
C000235,1967,West,Retired,41235.69,81,Owner
C000236,1994,West,Salaried,18978.28,238,Other
C000237,1961,East,Salaried,34146.6,239,Owner
C000238,1986,South,Self-employed,24317.92,223,Owner
C000239,1972,East,Salaried,35314.71,228,Tenant
C000240,1959,East,Retired,31117.96,167,Other
C000241,1952,North,Self-employed,53578.48,117,Tenant
C000242,2004,North,Salaried,41954.69,179,Owner
C000243,1980,East,Salaried,88999.21,181,Other
C000244,2003,North,Contract,65794.3,193,Owner
C000245,1974,North,Salaried,75357.3,33,Tenant
C000246,1969,South,Salaried,45345.13,175,Owner
C000247,2004,East,Retired,33470.9,161,Owner
C000248,1958,North,Salaried,22566.65,29,Tenant
C000249,1983,Central,Salaried,33012.59,233,Owner
C000250,1993,Central,Salaried,102425.82,75,Tenant
C000251,1985,West,Salaried,44990.16,162,Owner
C000252,1964,East,Salaried,28274.57,150,Owner
C000253,1977,Central,Self-employed,47809.1,234,Other
C000254,1998,South,Retired,32397.48,66,Owner
C000255,2004,Central,Salaried,24538.81,208,Mortgage
C000256,1994,East,Self-employed,87168.18,149,Tenant
C000257,1966,South,Salaried,33991.52,33,Owner
C000258,1965,East,Salaried,51719.35,206,Owner
C000259,1978,North,Self-employed,45958.53,194,Owner
C000260,1964,South,Salaried,37178.28,161,Tenant
C000261,1963,South,Salaried,28374.54,185,Mortgage
C000262,1997,West,Salaried,79678.67,187,Owner
C000263,2004,Central,Salaried,159396.26,139,Owner
C000264,1980,East,Self-employed,66123.77,163,Tenant
C000265,1995,Central,Salaried,141653.77,105,Mortgage
C000266,1998,West,Retired,54461.3,100,Tenant
C000267,1989,East,Salaried,20821.9,102,Owner
C000268,1971,West,Salaried,30358.87,221,Tenant
C000269,2000,East,Salaried,35423.79,143,Mortgage
C000270,1965,North,Salaried,44386.27,94,Mortgage
C000271,1980,Central,Contract,67032.06,216,Tenant
C000272,1968,West,Self-employed,42738.36,59,Tenant
C000273,1995,South,Salaried,85852.5,28,Owner
C000274,1984,South,Contract,33134.2,36,Mortgage
C000275,1970,South,Self-employed,42014.4,175,Owner
C000276,1978,East,Retired,21002.79,27,Mortgage
C000277,1989,Central,Self-employed,50472.38,224,Owner
C000278,1997,Central,Salaried,55643.9,97,Owner
C000279,1991,East,Salaried,41957.0,99,Tenant
C000280,1988,East,Salaried,32854.79,204,Mortgage
C000281,2003,North,Retired,17655.12,154,Mortgage
C000282,1960,Central,Self-employed,31601.21,40,Mortgage
C000283,1996,East,Retired,61161.36,51,Mortgage
C000284,1999,East,Contract,28377.83,208,Mortgage
C000285,1993,North,Salaried,64979.64,173,Mortgage
C000286,1970,Central,Contract,26188.75,233,Mortgage
C000287,1992,North,Self-employed,37699.06,64,Mortgage
C000288,1988,East,Salaried,56566.98,40,Mortgage
C000289,1967,South,Salaried,48876.99,27,Owner
C000290,1965,East,Salaried,23631.78,48,Tenant
C000291,1965,East,Salaried,31528.97,44,Mortgage
C000292,1947,East,Salaried,57846.63,6,Tenant
C000293,1949,South,Salaried,47880.03,156,Tenant
C000294,1980,North,Salaried,20503.24,196,Tenant
C000295,2003,South,Self-employed,39718.32,224,Mortgage
C000296,2004,East,Salaried,26131.12,204,Tenant
C000297,1992,South,Salaried,56025.47,146,Mortgage
C000298,1989,East,Salaried,50648.81,191,Mortgage
C000299,2000,Central,Retired,39809.17,79,Owner
C000300,1989,West,Self-employed,36189.74,109,Mortgage
C000301,1979,South,Salaried,29669.38,33,Mortgage
C000302,1991,South,Salaried,53674.17,129,Tenant
C000303,1960,North,Salaried,34011.53,219,Owner
C000304,1996,North,Salaried,32084.55,197,Tenant
C000305,1972,West,Self-employed,36808.53,144,Other
C000306,1981,West,Salaried,16063.67,38,Owner
C000307,1984,North,Salaried,55498.6,59,Mortgage
C000308,1984,West,Contract,32513.11,99,Tenant
C000309,1991,South,Salaried,30133.68,43,Tenant
C000310,1980,East,Salaried,107599.51,70,Mortgage
C000311,1983,South,Retired,31085.6,149,Mortgage
C000312,1966,South,Salaried,60002.7,136,Mortgage
C000313,1971,West,Self-employed,35620.97,152,Mortgage
C000314,1969,East,Salaried,22277.33,48,Owner
C000315,1999,West,Self-employed,96680.18,27,Owner
C000316,2004,Central,Salaried,24908.62,125,Other
C000317,1973,East,Self-employed,26477.22,140,Tenant
C000318,1979,North,Salaried,35881.28,79,Mortgage
C000319,1979,North,Salaried,39199.24,194,Tenant
C000320,1974,South,Self-employed,61546.5,54,Tenant
C000321,1980,North,Salaried,52322.61,74,Owner
C000322,1976,North,Self-employed,49779.65,198,Other
C000323,1973,West,Salaried,62375.95,119,Owner
C000324,1969,North,Contract,16000,129,Tenant
C000325,1969,East,Salaried,32315.33,101,Tenant
C000326,1985,East,Contract,47053.4,33,Owner
C000327,1974,North,Retired,30779.25,236,Owner
C000328,1986,East,Salaried,48864.86,226,Mortgage
C000329,1973,West,Salaried,41304.25,174,Other
C000330,1977,Central,Salaried,39755.72,51,Tenant
C000331,1975,South,Retired,42503.26,161,Tenant
C000332,1993,Central,Retired,30476.53,216,Mortgage
C000333,1996,South,Salaried,67868.49,166,Other
C000334,1983,Central,Salaried,73780.56,146,Mortgage
C000335,1971,West,Contract,30360.0,161,Owner
C000336,1990,West,Salaried,18233.37,182,Tenant
C000337,1991,East,Salaried,35614.52,61,Tenant
C000338,1978,West,Self-employed,95686.41,153,Mortgage
C000339,1973,North,Salaried,108181.94,140,Owner
C000340,1984,East,Salaried,62750.81,62,Mortgage
C000341,1962,East,Salaried,40308.41,56,Mortgage
C000342,1991,North,Salaried,42333.36,84,Owner
C000343,1976,West,Salaried,71872.94,27,Owner
C000344,1980,East,Retired,18708.17,72,Mortgage
C000345,1987,North,Salaried,91405.18,184,Mortgage
C000346,1991,Central,Self-employed,114048.83,31,Tenant
C000347,1990,West,Contract,44697.91,10,Mortgage
C000348,1979,North,Salaried,89648.12,235,Mortgage
C000349,1978,South,Retired,42072.05,160,Mortgage
C000350,1971,North,Retired,49444.38,238,Other
C000351,1959,Central,Salaried,16000,111,Other
C000352,1975,East,Self-employed,35566.42,65,Tenant
C000353,1966,North,Salaried,60668.07,55,Owner
C000354,1989,Central,Salaried,55024.34,118,Tenant
C000355,1971,East,Salaried,40478.46,140,Tenant
C000356,1998,West,Salaried,220000,18,Owner
C000357,1999,North,Salaried,42817.52,155,Tenant
C000358,1993,South,Salaried,59512.06,183,Tenant
C000359,1964,Central,Self-employed,55996.53,162,Other
C000360,1971,West,Salaried,53854.46,113,Mortgage
C000361,1964,East,Retired,32558.19,61,Mortgage
C000362,1974,North,Salaried,51234.57,43,Owner
C000363,1992,West,Salaried,40127.87,185,Mortgage
C000364,1979,North,Salaried,25595.32,183,Tenant
C000365,1968,West,Salaried,47617.45,186,Mortgage
C000366,1980,East,Salaried,23808.66,52,Tenant
C000367,1998,East,Salaried,113307.84,17,Mortgage
C000368,1994,West,Salaried,46804.04,13,Tenant
C000369,1986,Central,Salaried,28049.59,20,Tenant
C000370,1968,Central,Salaried,96386.69,77,Tenant
C000371,1972,Central,Salaried,35121.69,187,Owner
C000372,1982,East,Contract,27448.04,134,Owner
C000373,1985,Central,Salaried,25558.53,229,Owner
C000374,1968,North,Salaried,50761.67,76,Mortgage
C000375,2000,East,Salaried,105575.16,75,Owner
C000376,1997,West,Self-employed,39681.45,33,Mortgage
C000377,1986,North,Self-employed,65389.56,200,Tenant
C000378,1967,East,Salaried,44352.82,65,Other
C000379,1969,East,Salaried,75934.14,22,Mortgage
C000380,1967,South,Salaried,31379.82,111,Owner
C000381,1993,North,Salaried,60786.75,177,Owner
C000382,1986,West,Retired,96609.25,29,Owner
C000383,1993,East,Self-employed,62910.22,58,Tenant
C000384,1956,South,Salaried,48371.12,226,Mortgage
C000385,1989,North,Self-employed,43742.95,148,Mortgage
C000386,1976,East,Salaried,45582.76,207,Tenant
C000387,1981,West,Salaried,43743.85,74,Mortgage
C000388,1982,Central,Salaried,55334.04,28,Owner
C000389,1962,North,Salaried,54628.2,122,Mortgage
C000390,1969,North,Self-employed,41979.61,127,Mortgage
C000391,1995,South,Salaried,45804.76,71,Owner
C000392,1972,Central,Salaried,64521.72,226,Owner
C000393,1975,East,Salaried,35391.0,221,Mortgage
C000394,1969,South,Salaried,25044.9,186,Mortgage
C000395,1966,North,Self-employed,43534.26,142,Tenant
C000396,1968,North,Salaried,109646.09,92,Tenant
C000397,2004,Central,Salaried,58895.72,61,Other
C000398,1947,Central,Salaried,159344.87,184,Owner
C000399,1965,South,Contract,75490.17,205,Owner
C000400,1984,West,Contract,27150.5,51,Tenant
C000401,1958,North,Salaried,43638.85,133,Owner
C000402,1975,East,Self-employed,105665.79,117,Mortgage
C000403,1999,Central,Salaried,91516.5,91,Tenant
C000404,1977,North,Salaried,40518.25,104,Tenant
C000405,1991,Central,Salaried,79762.32,170,Mortgage
C000406,1984,Central,Salaried,96219.03,44,Tenant
C000407,1997,North,Salaried,107785.06,167,Owner
C000408,1981,South,Salaried,61484.83,211,Owner
C000409,2002,North,Salaried,63947.5,100,Mortgage
C000410,2004,Central,Self-employed,23678.47,112,Tenant
C000411,2004,East,Salaried,44111.9,189,Mortgage
C000412,1980,West,Salaried,29427.65,174,Owner
C000413,1985,South,Contract,37751.78,163,Tenant
C000414,1986,West,Salaried,71317.1,89,Owner
C000415,1983,East,Salaried,49857.54,51,Mortgage
C000416,1967,North,Salaried,17856.5,93,Owner
C000417,1991,East,Retired,37509.91,226,Other
C000418,1965,East,Self-employed,37055.71,44,Tenant
C000419,1976,East,Salaried,29960.69,27,Mortgage
C000420,1949,West,Salaried,45386.33,12,Other
C000421,1989,East,Retired,45820.54,81,Mortgage
C000422,1989,South,Self-employed,60731.23,50,Tenant
C000423,1960,Central,Salaried,50768.62,185,Owner
C000424,1988,East,Self-employed,41341.12,37,Mortgage
C000425,1991,North,Self-employed,29228.17,58,Mortgage
C000426,1976,South,Salaried,54560.91,171,Tenant
C000427,2001,South,Salaried,78249.99,101,Other
C000428,1977,South,Self-employed,119279.77,16,Other
C000429,1979,West,Self-employed,30142.24,81,Mortgage
C000430,1999,South,Retired,28213.21,108,Mortgage
C000431,1974,North,Salaried,51087.31,223,Mortgage
C000432,1967,North,Salaried,200990.9,224,Mortgage
C000433,2004,Central,Salaried,41211.02,192,Tenant
C000434,2004,East,Salaried,57967.5,148,Mortgage
C000435,1992,East,Salaried,44533.22,195,Mortgage
C000436,1982,South,Self-employed,84885.18,36,Tenant
C000437,1970,West,Salaried,43387.7,10,Tenant
C000438,1986,East,Salaried,22545.63,25,Mortgage
C000439,1968,North,Retired,40269.94,154,Mortgage
C000440,1977,Central,Salaried,29661.68,222,Mortgage
C000441,1998,Central,Salaried,45362.37,158,Mortgage
C000442,1988,North,Self-employed,61799.07,10,Tenant
C000443,1966,West,Salaried,37691.12,160,Owner
C000444,1981,South,Contract,32796.47,151,Owner
C000445,1966,West,Contract,16000,53,Mortgage
C000446,1980,South,Salaried,93608.36,35,Mortgage
C000447,1966,North,Salaried,31225.87,178,Mortgage
C000448,1965,East,Salaried,38345.17,109,Owner
C000449,1976,East,Salaried,19827.88,160,Other
C000450,1981,North,Salaried,140338.55,160,Tenant
C000451,2001,East,Self-employed,138152.64,72,Mortgage
C000452,1982,North,Contract,28956.65,174,Tenant
C000453,1970,West,Self-employed,49328.62,152,Mortgage
C000454,1973,North,Salaried,34469.45,157,Owner
C000455,1958,North,Self-employed,28322.79,84,Owner
C000456,2001,North,Salaried,47383.97,87,Mortgage
C000457,1977,East,Salaried,63731.45,133,Tenant
C000458,1993,East,Self-employed,58021.25,115,Owner
C000459,1987,East,Salaried,48306.71,201,Mortgage
C000460,1965,Central,Retired,52406.2,238,Mortgage
C000461,1989,South,Salaried,19330.16,218,Tenant
C000462,1988,North,Salaried,56328.36,210,Tenant
C000463,2004,West,Salaried,34017.59,51,Tenant
C000464,1967,Central,Contract,98201.28,221,Owner
C000465,1971,East,Contract,29900.56,105,Tenant
C000466,1979,North,Salaried,34378.78,145,Mortgage
C000467,1966,West,Salaried,120411.87,19,Tenant
C000468,1988,Central,Salaried,79114.36,240,Mortgage
C000469,1967,East,Salaried,45296.86,215,Owner
C000470,1963,West,Self-employed,52750.08,53,Tenant
C000471,1950,Central,Salaried,71086.82,181,Mortgage
C000472,1998,East,Salaried,39090.95,11,Other
C000473,1995,Central,Salaried,43048.48,36,Owner
C000474,2002,South,Salaried,35350.46,116,Tenant
C000475,1987,West,Salaried,42676.06,238,Owner
C000476,1991,East,Retired,60835.8,158,Owner
C000477,1988,South,Contract,22697.35,234,Mortgage
C000478,1980,North,Retired,21354.94,17,Other
C000479,1980,North,Salaried,71491.47,194,Other
C000480,1992,East,Salaried,24401.52,132,Owner
C000481,1965,West,Salaried,133646.51,60,Mortgage
C000482,1987,Central,Self-employed,78073.02,220,Mortgage
C000483,1985,West,Self-employed,29292.39,121,Mortgage
C000484,1985,North,Self-employed,43028.88,203,Tenant
C000485,1998,East,Salaried,82623.45,212,Tenant
C000486,1979,East,Salaried,41158.71,100,Mortgage
C000487,1996,West,Salaried,23209.83,140,Owner
C000488,1991,East,Contract,46584.78,147,Owner
C000489,1987,East,Self-employed,53624.09,35,Tenant
C000490,1987,South,Salaried,96252.16,229,Tenant
C000491,1975,South,Salaried,42697.1,174,Other
C000492,1984,North,Salaried,72313.97,9,Owner
C000493,1980,West,Salaried,32099.6,43,Mortgage
C000494,1979,East,Contract,32229.82,219,Mortgage
C000495,1998,East,Salaried,46067.77,191,Mortgage
C000496,1985,East,Salaried,42444.45,171,Mortgage
C000497,1967,West,Salaried,75690.11,39,Tenant
C000498,2002,North,Self-employed,40472.84,129,Owner
C000499,1968,North,Contract,31105.12,217,Tenant
C000500,1955,East,Salaried,51079.78,235,Owner
C000501,1972,North,Contract,34570.05,162,Mortgage
C000502,1961,East,Salaried,31069.36,228,Owner
C000503,2004,South,Salaried,34823.91,135,Owner
C000504,1974,East,Salaried,71021.68,110,Tenant
C000505,1987,West,Self-employed,50619.38,117,Owner
C000506,1974,South,Salaried,66719.64,108,Tenant
C000507,1987,Central,Salaried,51433.04,165,Tenant
C000508,1997,West,Salaried,32988.54,195,Tenant
C000509,1980,Central,Salaried,32888.4,83,Tenant
C000510,1998,East,Salaried,53211.36,66,Tenant
C000511,1971,South,Self-employed,83699.08,89,Mortgage
C000512,1983,North,Salaried,43021.73,25,Mortgage
C000513,2000,East,Salaried,46365.52,112,Tenant
C000514,1993,West,Self-employed,69038.74,149,Mortgage
C000515,1973,East,Salaried,34334.5,18,Tenant
C000516,2001,South,Salaried,48346.47,121,Tenant
C000517,1983,Central,Self-employed,50229.07,89,Owner
C000518,1992,North,Salaried,43641.97,167,Tenant
C000519,2004,North,Salaried,57947.54,127,Mortgage
C000520,2001,South,Salaried,87731.38,156,Owner
C000521,1987,South,Salaried,34199.92,110,Tenant
C000522,1994,East,Salaried,70534.72,66,Mortgage
C000523,1984,Central,Salaried,40285.9,74,Mortgage
C000524,1966,West,Salaried,51181.1,42,Mortgage
C000525,1969,South,Contract,36540.06,167,Owner
C000526,1994,Central,Self-employed,128801.87,232,Tenant
C000527,1983,North,Salaried,82857.82,183,Owner
C000528,1982,Central,Salaried,60153.72,102,Tenant
C000529,1983,North,Salaried,29264.01,77,Tenant
C000530,1993,East,Retired,32061.82,49,Mortgage
C000531,1994,West,Salaried,29877.91,55,Tenant
C000532,1958,South,Self-employed,41832.49,222,Other
C000533,1990,East,Self-employed,73714.45,7,Mortgage
