loan_id,snapshot_month,account_age_months,outstanding_balance_eur,days_past_due,utilization_pct,payment_ratio,missed_payments_3m,bureau_score,dti_pct,income_drop_flag,hardship_flag,default_next_3m
L000005,2024-07-01,12,2170.55,0,39.17,0.7563,1,680,19.79,0,0,0
L000005,2024-08-01,13,2080.11,0,60.76,0.9017,1,719,19.79,0,0,0
L000005,2024-09-01,14,1989.67,0,56.24,1.0461,0,698,19.79,0,0,0
L000005,2024-10-01,15,1899.23,0,63.55,1.2216,0,716,19.79,0,0,0
L000005,2024-11-01,16,1808.79,0,20.31,1.0728,0,725,19.79,0,0,0
L000005,2024-12-01,17,1718.35,0,57.24,0.9162,0,693,19.79,1,0,0
L000005,2025-01-01,18,1627.91,0,49.29,1.0267,0,681,19.79,0,0,0
L000005,2025-02-01,19,1537.48,0,46.25,0.9733,0,722,19.79,0,0,0
L000005,2025-03-01,20,1447.04,0,31.97,0.9647,0,738,19.79,0,0,0
L000005,2025-04-01,21,1356.6,0,31.09,0.9555,0,711,19.79,0,0,0
L000005,2025-05-01,22,1266.16,0,58.55,1.1126,0,712,19.79,0,0,0
L000005,2025-06-01,23,1175.72,0,38.59,1.0634,0,699,19.79,0,0,0
L000005,2025-07-01,24,1085.28,0,49.78,0.9488,0,748,19.79,0,0,0
L000005,2025-08-01,25,994.84,0,63.16,1.0407,0,686,19.79,0,0,0
L000005,2025-09-01,26,904.4,0,49.28,0.9665,0,689,19.79,0,0,0
L000006,2024-01-01,11,19539.52,23,26.04,0.8758,1,729,53.55,0,0,0
L000006,2024-02-01,12,19011.42,0,40.28,0.9265,1,697,53.55,0,0,0
L000006,2024-03-01,13,18483.33,0,46.3,0.8178,1,713,53.55,0,0,0
L000006,2024-04-01,14,17955.23,0,44.47,0.9441,0,722,53.55,0,0,0
L000006,2024-05-01,15,17427.14,0,52.34,1.0333,0,751,53.55,0,0,0
L000006,2024-06-01,16,16899.04,0,62.87,1.0924,0,694,53.55,0,0,0
L000006,2024-07-01,17,16370.94,0,66.1,0.9622,0,692,53.55,0,0,0
L000006,2024-08-01,18,15842.85,0,53.25,0.8696,0,721,53.55,1,0,0
L000006,2024-09-01,19,15314.76,0,24.56,1.0672,0,710,53.55,0,0,0
L000006,2024-10-01,20,14786.66,0,65.7,0.9555,0,739,53.55,0,0,0
L000006,2024-11-01,21,14258.57,0,61.71,1.0689,0,741,53.55,0,0,0
L000006,2024-12-01,22,13730.47,0,40.45,1.0384,0,717,53.55,0,0,0
L000006,2025-01-01,23,13202.37,0,45.34,0.9509,0,707,53.55,0,0,0
L000006,2025-02-01,24,12674.28,0,52.99,0.9361,0,733,53.55,0,0,0
L000006,2025-03-01,25,12146.18,0,40.33,1.0104,0,662,53.55,0,0,0
L000006,2025-04-01,26,11618.09,0,42.92,0.8883,0,746,53.55,0,0,0
L000006,2025-05-01,27,11090.0,0,46.67,1.0576,0,713,53.55,0,0,0
L000006,2025-06-01,28,10561.9,0,37.48,0.8178,0,695,53.55,0,0,0
L000006,2025-07-01,29,10033.81,0,62.82,1.015,0,761,53.55,0,0,0
L000006,2025-08-01,30,9505.71,0,45.35,1.0178,0,695,53.55,0,0,0
L000006,2025-09-01,31,8977.61,0,40.59,1.0714,0,725,53.55,0,0,0
L000007,2024-01-01,61,274206.29,0,41.68,1.0087,0,664,67.43,0,0,0
L000007,2024-02-01,62,272674.41,0,58.41,1.0876,0,675,67.43,0,0,0
L000007,2024-03-01,63,271142.53,30,40.7,0.6941,1,681,67.43,0,0,0
L000007,2024-04-01,64,269610.65,0,77.78,1.0001,1,645,67.43,0,0,0
L000007,2024-05-01,65,268078.77,0,42.2,0.8934,1,688,67.43,0,0,0
L000007,2024-06-01,66,266546.9,0,39.9,1.0191,0,681,67.43,0,0,0
L000007,2024-07-01,67,265015.02,0,48.57,0.9394,0,713,67.43,0,0,0
L000007,2024-08-01,68,263483.14,0,41.3,0.9332,0,685,67.43,0,0,0
L000007,2024-09-01,69,261951.26,0,43.48,1.0803,0,645,67.43,0,0,0
L000007,2024-10-01,70,260419.38,0,60.6,0.9257,0,659,67.43,0,0,0
L000007,2024-11-01,71,258887.5,0,44.8,1.1081,0,666,67.43,0,0,0
L000007,2024-12-01,72,257355.62,0,27.68,1.047,0,694,67.43,0,0,0
L000007,2025-01-01,73,255823.74,0,75.89,0.9365,0,690,67.43,0,0,0
L000007,2025-02-01,74,254291.87,0,41.12,1.0053,0,620,67.43,0,0,0
L000007,2025-03-01,75,252759.99,0,68.28,0.9303,0,692,67.43,0,0,0
L000007,2025-04-01,76,251228.11,0,24.42,1.0526,0,700,67.43,0,0,0
L000007,2025-05-01,77,249696.23,0,62.39,1.1666,0,679,67.43,0,0,0
L000007,2025-06-01,78,248164.35,60,80.52,0.4985,1,656,67.43,1,0,0
L000007,2025-07-01,79,246632.47,26,45.54,0.7329,2,660,67.43,0,0,0
L000007,2025-08-01,80,245100.59,0,42.14,0.6403,2,624,67.43,0,0,1
L000007,2025-09-01,81,243568.71,0,41.78,0.9507,1,666,67.43,0,0,0
L000008,2024-01-01,10,24717.91,0,34.32,1.0603,0,680,40.09,0,0,0
L000008,2024-02-01,11,24223.55,0,38.54,1.0632,0,705,40.09,0,0,0
L000008,2024-03-01,12,23729.19,0,45.56,1.0666,0,702,40.09,0,0,0
L000008,2024-04-01,13,23234.83,0,90.29,1.0546,0,678,40.09,0,1,0
L000008,2024-05-01,14,22740.48,0,63.12,1.0022,0,718,40.09,0,0,0
L000008,2024-06-01,15,22246.12,0,21.88,1.0935,0,684,40.09,0,0,0
L000008,2024-07-01,16,21751.76,0,64.84,1.0267,0,735,40.09,0,0,0
L000008,2024-08-01,17,21257.4,30,56.11,0.7351,1,658,40.09,0,1,1
L000008,2024-09-01,18,20763.04,0,54.2,0.8855,1,661,40.09,0,0,0
L000008,2024-10-01,19,20268.68,0,65.45,1.0069,1,693,40.09,0,0,0
L000008,2024-11-01,20,19774.33,0,50.6,1.0065,0,714,40.09,0,0,0
L000008,2024-12-01,21,19279.97,0,65.89,1.1669,0,747,40.09,0,0,0
L000008,2025-01-01,22,18785.61,0,27.68,1.0393,0,717,40.09,0,0,0
L000008,2025-02-01,23,18291.25,0,16.27,1.12,0,708,40.09,0,0,0
L000008,2025-03-01,24,17796.89,0,53.54,0.973,0,762,40.09,0,0,0
L000008,2025-04-01,25,17302.54,0,22.75,0.988,0,687,40.09,0,0,0
L000008,2025-05-01,26,16808.18,0,56.41,1.011,0,701,40.09,0,0,0
L000008,2025-06-01,27,16313.82,0,49.08,0.8923,0,726,40.09,0,0,0
L000008,2025-07-01,28,15819.46,0,67.04,1.003,0,714,40.09,0,0,0
L000008,2025-08-01,29,15325.1,0,49.4,0.8584,0,708,40.09,0,0,0
L000008,2025-09-01,30,14830.75,0,35.26,1.0643,0,700,40.09,0,0,0
L000009,2024-01-01,13,16773.63,0,77.69,1.0481,0,642,53.33,0,0,0
L000009,2024-02-01,14,11633.01,0,53.88,1.0681,0,664,53.33,0,0,0
L000009,2024-03-01,15,13356.41,0,61.86,0.9301,0,639,53.33,0,0,0
L000009,2024-04-01,16,20899.9,0,96.8,1.0357,0,627,53.33,0,0,0
L000009,2024-05-01,17,15975.63,0,73.99,0.9991,0,662,53.33,0,0,0
L000009,2024-06-01,18,15401.73,0,71.33,1.0756,0,685,53.33,0,0,0
L000009,2024-07-01,19,13403.79,0,62.08,1.0449,0,643,53.33,0,0,1
L000009,2024-08-01,20,15892.89,0,73.61,1.0239,0,662,53.33,0,0,0
L000009,2024-09-01,21,14715.39,0,68.15,1.0779,0,629,53.33,0,0,1
L000009,2024-10-01,22,19394.03,18,89.82,0.896,1,645,53.33,0,0,0
L000009,2024-11-01,23,14390.72,0,66.65,1.0002,1,612,53.33,0,0,0
L000009,2024-12-01,24,9767.8,0,45.24,0.8513,1,666,53.33,0,0,1
L000009,2025-01-01,25,9930.72,0,45.99,1.047,0,635,53.33,0,0,0
L000009,2025-02-01,26,16886.39,0,78.21,0.917,0,668,53.33,0,0,0
L000009,2025-03-01,27,13397.25,0,62.05,0.9368,0,663,53.33,0,0,1
L000009,2025-04-01,28,16020.43,0,74.2,0.9981,0,620,53.33,0,0,0
L000009,2025-05-01,29,15716.39,0,72.79,1.0427,0,634,53.33,0,0,0
L000009,2025-06-01,30,17604.69,0,81.54,0.8843,0,621,53.33,0,0,0
L000009,2025-07-01,31,17102.68,0,79.21,0.9856,0,626,53.33,0,0,0
L000009,2025-08-01,32,17640.57,0,81.7,0.9755,0,606,53.33,0,0,0
L000009,2025-09-01,33,13437.9,0,62.24,1.0387,0,617,53.33,0,0,0
L000010,2024-01-01,69,202324.15,0,52.81,1.116,0,746,33.5,0,0,0
L000010,2024-02-01,70,201140.97,0,42.66,0.9497,0,727,33.5,0,0,0
L000010,2024-03-01,71,199957.79,0,28.21,0.9739,0,738,33.5,0,0,0
L000010,2024-04-01,72,198774.6,0,37.21,1.0472,0,747,33.5,0,0,0
L000010,2024-05-01,73,197591.42,0,32.72,1.081,0,745,33.5,0,0,0
L000010,2024-06-01,74,196408.24,0,56.67,0.8175,0,715,33.5,1,0,0
L000010,2024-07-01,75,195225.06,0,69.22,1.1307,0,732,33.5,0,0,0
L000010,2024-08-01,76,194041.88,0,29.98,0.997,0,744,33.5,0,0,0
L000010,2024-09-01,77,192858.69,0,43.77,1.0798,0,711,33.5,0,0,0
L000010,2024-10-01,78,191675.51,0,41.57,1.0064,0,723,33.5,0,0,0
L000010,2024-11-01,79,190492.33,0,29.72,1.0268,0,744,33.5,0,0,0
L000010,2024-12-01,80,189309.15,0,54.76,0.9509,0,760,33.5,0,0,0
L000010,2025-01-01,81,188125.96,0,39.19,0.9624,0,759,33.5,0,0,0
L000010,2025-02-01,82,186942.78,0,28.09,1.0094,0,677,33.5,0,0,0
L000010,2025-03-01,83,185759.6,0,19.31,0.8618,0,733,33.5,0,0,0
L000010,2025-04-01,84,184576.42,0,25.41,0.9978,0,744,33.5,0,0,0
L000010,2025-05-01,85,183393.24,0,43.08,1.0487,0,728,33.5,0,0,0
L000010,2025-06-01,86,182210.05,0,34.7,1.1831,0,779,33.5,0,0,0
L000010,2025-07-01,87,181026.87,0,38.35,1.0267,0,720,33.5,0,0,1
L000010,2025-08-01,88,179843.69,30,56.1,0.8593,1,731,33.5,0,0,1
L000010,2025-09-01,89,178660.51,0,6.03,0.8997,1,734,33.5,0,0,0
L000011,2024-01-01,14,1664.49,0,14.75,1.0202,0,753,34.66,0,0,0
L000011,2024-02-01,15,2249.72,0,19.94,1.0801,0,728,34.66,0,0,0
L000011,2024-03-01,16,4250.22,0,37.67,0.9804,0,776,34.66,0,0,0
L000011,2024-04-01,17,3626.17,0,32.14,0.9689,0,747,34.66,0,0,0
L000011,2024-05-01,18,3747.89,0,33.22,1.06,0,723,34.66,0,0,0
L000011,2024-06-01,19,4603.33,0,40.8,1.0505,0,745,34.66,0,0,0
L000011,2024-07-01,20,4335.85,0,38.43,1.0282,0,750,34.66,0,0,0
L000011,2024-08-01,21,6718.05,0,59.54,1.1395,0,701,34.66,0,0,1
L000011,2024-09-01,22,1742.25,0,15.44,0.9285,0,754,34.66,0,0,0
L000011,2024-10-01,23,4552.69,0,40.35,0.9464,0,750,34.66,0,0,0
L000011,2024-11-01,24,4872.88,0,43.19,0.9247,0,750,34.66,0,0,0
L000011,2024-12-01,25,4627.1,0,41.01,1.1261,0,767,34.66,0,0,0
L000011,2025-01-01,26,2891.26,0,25.63,1.1396,0,745,34.66,0,0,0
L000011,2025-02-01,27,3513.96,0,31.15,1.1273,0,761,34.66,0,0,0
L000011,2025-03-01,28,5439.45,0,48.21,1.0191,0,746,34.66,0,0,0
L000011,2025-04-01,29,4986.6,0,44.2,0.9906,0,760,34.66,0,0,0
L000011,2025-05-01,30,6094.28,0,54.02,1.0267,0,736,34.66,0,0,0
L000011,2025-06-01,31,5766.02,0,51.11,0.9794,0,775,34.66,0,0,0
L000011,2025-07-01,32,2977.68,0,26.39,1.0539,0,764,34.66,0,0,0
L000011,2025-08-01,33,7580.9,0,67.19,1.04,0,723,34.66,0,0,0
L000011,2025-09-01,34,4686.46,0,41.54,1.126,0,766,34.66,0,0,0
L000012,2024-01-01,32,5489.04,0,33.63,1.0656,0,724,22.15,0,0,0
L000012,2024-02-01,33,5351.81,0,13.85,1.1034,0,784,22.15,0,0,0
L000012,2024-03-01,34,5214.59,0,32.4,0.9584,0,754,22.15,0,0,0
L000012,2024-04-01,35,5077.36,0,34.3,1.022,0,801,22.15,0,0,0
L000012,2024-05-01,36,4940.14,0,9.59,1.0367,0,737,22.15,0,0,0
L000012,2024-06-01,37,4802.91,0,23.26,1.0364,0,788,22.15,0,0,0
L000012,2024-07-01,38,4665.68,0,21.72,1.1141,0,758,22.15,0,0,0
L000012,2024-08-01,39,4528.46,0,20.13,1.0466,0,771,22.15,0,0,0
L000012,2024-09-01,40,4391.23,0,15.8,0.9883,0,744,22.15,0,0,0
L000012,2024-10-01,41,4254.01,0,13.2,1.0024,0,749,22.15,0,0,0
L000012,2024-11-01,42,4116.78,0,25.26,0.985,0,716,22.15,0,0,0
L000012,2024-12-01,43,3979.55,0,21.14,1.0769,0,797,22.15,0,0,0
L000012,2025-01-01,44,3842.33,0,20.89,0.9778,0,793,22.15,0,0,0
L000012,2025-02-01,45,3705.1,17,32.93,0.9057,1,762,22.15,0,0,0
L000012,2025-03-01,46,3567.88,14,1.57,0.791,1,746,22.15,0,0,0
L000012,2025-04-01,47,3430.65,0,49.75,0.7809,1,767,22.15,0,0,0
L000012,2025-05-01,48,3293.42,0,21.5,1.0793,0,722,22.15,0,0,0
L000012,2025-06-01,49,3156.2,0,19.69,1.0463,0,761,22.15,0,0,0
L000012,2025-07-01,50,3018.97,0,10.38,0.9899,0,763,22.15,0,0,0
L000012,2025-08-01,51,2881.75,0,20.85,1.1273,0,802,22.15,0,0,0
L000012,2025-09-01,52,2744.52,0,35.65,0.9727,0,754,22.15,0,0,0
L000013,2024-01-01,60,85463.25,0,15.71,0.9776,0,726,40.5,0,0,0
L000013,2024-02-01,61,84751.06,0,39.97,1.0131,0,759,40.5,0,0,0
L000013,2024-03-01,62,84038.87,0,49.16,0.9599,0,729,40.5,0,0,0
L000013,2024-04-01,63,83326.67,0,31.04,0.9095,0,723,40.5,0,0,0
L000013,2024-05-01,64,82614.48,0,42.03,0.9667,0,708,40.5,0,0,0
L000013,2024-06-01,65,81902.28,0,56.79,0.9827,0,679,40.5,0,0,0
L000013,2024-07-01,66,81190.09,0,62.52,1.0459,0,687,40.5,0,1,1
L000013,2024-08-01,67,80477.9,0,46.6,1.01,0,739,40.5,0,0,0
L000013,2024-09-01,68,79765.7,0,77.04,1.0478,0,746,40.5,0,0,0
L000013,2024-10-01,69,79053.51,0,54.73,1.1512,0,743,40.5,0,0,0
L000013,2024-11-01,70,78341.32,0,46.67,0.949,0,754,40.5,0,0,0
L000013,2024-12-01,71,77629.12,0,27.87,0.8677,0,750,40.5,0,0,0
L000013,2025-01-01,72,76916.93,0,42.12,1.0203,0,747,40.5,0,0,0
L000013,2025-02-01,73,76204.73,19,47.54,0.8658,1,643,40.5,0,0,0
L000013,2025-03-01,74,75492.54,0,44.55,0.8745,1,727,40.5,0,0,0
L000013,2025-04-01,75,74780.35,0,51.75,0.9942,1,680,40.5,0,0,0
L000013,2025-05-01,76,74068.15,0,32.25,1.0177,0,746,40.5,0,0,0
L000013,2025-06-01,77,73355.96,0,25.97,0.9172,0,765,40.5,0,0,0
L000013,2025-07-01,78,72643.77,0,41.61,1.0556,0,720,40.5,0,0,0
L000013,2025-08-01,79,71931.57,0,50.62,1.1292,0,705,40.5,0,0,0
L000013,2025-09-01,80,71219.38,0,22.54,0.8888,0,713,40.5,0,0,0
L000014,2024-01-01,65,119289.75,0,35.14,0.969,0,762,35.31,0,0,0
L000014,2024-02-01,66,118782.14,7,54.87,0.8815,0,735,35.31,0,0,0
L000014,2024-03-01,67,118274.52,0,66.62,1.0662,0,738,35.31,0,0,0
L000014,2024-04-01,68,117766.9,0,44.93,1.0471,0,722,35.31,0,0,0
L000014,2024-05-01,69,117259.29,0,57.24,0.9287,0,725,35.31,0,0,0
L000014,2024-06-01,70,116751.67,0,27.67,1.0577,0,695,35.31,0,0,0
L000014,2024-07-01,71,116244.06,0,59.48,1.0929,0,724,35.31,0,0,0
L000014,2024-08-01,72,115736.44,0,36.41,1.0187,0,701,35.31,0,0,0
L000014,2024-09-01,73,115228.82,0,49.79,0.9752,0,720,35.31,0,0,0
L000014,2024-10-01,74,114721.21,0,67.84,1.1392,0,707,35.31,0,0,0
L000014,2024-11-01,75,114213.59,0,57.44,0.9513,0,709,35.31,0,0,0
L000014,2024-12-01,76,113705.98,0,18.02,0.9804,0,711,35.31,0,0,0
L000014,2025-01-01,77,113198.36,0,37.76,1.0451,0,729,35.31,0,0,0
L000014,2025-02-01,78,112690.74,0,73.99,1.0403,0,717,35.31,0,0,0
L000014,2025-03-01,79,112183.13,0,49.51,0.9126,0,718,35.31,0,0,0
L000014,2025-04-01,80,111675.51,0,60.67,0.9598,0,688,35.31,0,0,0
L000014,2025-05-01,81,111167.9,0,64.72,1.0469,0,708,35.31,0,0,0
L000014,2025-06-01,82,110660.28,0,39.38,0.8675,0,736,35.31,1,0,0
L000014,2025-07-01,83,110152.66,0,49.2,1.0974,0,673,35.31,0,0,0
L000014,2025-08-01,84,109645.05,0,47.05,1.096,0,705,35.31,0,0,0
L000014,2025-09-01,85,109137.43,0,78.8,0.7987,0,751,35.31,0,0,0
L000015,2024-01-01,16,190829.28,0,51.22,1.0774,0,669,57.92,0,1,0
L000015,2024-02-01,17,189665.69,0,48.84,1.045,0,725,57.92,0,0,0
L000015,2024-03-01,18,188502.09,0,47.74,0.9845,0,684,57.92,0,0,0
L000015,2024-04-01,19,187338.5,0,69.17,0.9325,0,690,57.92,0,0,0
L000015,2024-05-01,20,186174.91,0,65.15,1.1451,0,723,57.92,0,0,0
L000015,2024-06-01,21,185011.31,0,30.48,0.8895,0,729,57.92,0,0,0
L000015,2024-07-01,22,183847.72,0,51.4,1.096,0,726,57.92,0,0,0
L000015,2024-08-01,23,182684.13,0,44.4,0.9802,0,669,57.92,0,0,0
L000015,2024-09-01,24,181520.53,0,61.97,1.0396,0,688,57.92,0,0,0
L000015,2024-10-01,25,180356.94,0,31.53,1.0569,0,706,57.92,0,0,0
L000015,2024-11-01,26,179193.35,0,39.22,1.0548,0,676,57.92,0,0,0
L000015,2024-12-01,27,178029.75,0,43.31,0.9679,0,697,57.92,0,0,0
L000015,2025-01-01,28,176866.16,0,57.45,0.9837,0,727,57.92,0,0,0
L000015,2025-02-01,29,175702.57,0,43.17,1.078,0,670,57.92,0,0,0
L000015,2025-03-01,30,174538.98,0,44.94,0.8744,0,712,57.92,0,0,0
L000015,2025-04-01,31,173375.38,0,45.06,1.0437,0,747,57.92,0,0,0
L000015,2025-05-01,32,172211.79,0,36.57,1.012,0,678,57.92,0,0,0
L000015,2025-06-01,33,171048.2,0,52.34,0.7497,0,722,57.92,0,0,0
L000015,2025-07-01,34,169884.6,0,45.86,1.0116,0,716,57.92,0,0,0
L000015,2025-08-01,35,168721.01,30,44.92,0.8242,1,693,57.92,0,0,0
L000015,2025-09-01,36,167557.42,0,68.51,0.7611,1,633,57.92,1,0,1
L000016,2024-01-01,16,7131.27,0,36.47,1.1305,0,733,44.89,0,0,0
L000016,2024-02-01,17,6663.33,0,34.08,0.9217,0,720,44.89,0,0,0
L000016,2024-03-01,18,10425.16,0,53.31,0.8701,0,701,44.89,1,0,0
L000016,2024-04-01,19,9766.64,0,49.94,0.9542,0,672,44.89,0,0,0
L000016,2024-05-01,20,7013.1,0,35.86,1.0768,0,699,44.89,0,0,0
L000016,2024-06-01,21,4677.33,0,23.92,1.0426,0,727,44.89,0,0,0
L000016,2024-07-01,22,9926.97,0,50.76,0.9393,0,687,44.89,0,0,0
