loan_id,customer_id,origination_date,product_type,original_principal_eur,term_months,apr_pct,installment_eur,purpose
L000028,C001843,2022-09-01,Mortgage,414495.79,240,2.973,2293.12,Home purchase
L000029,C001170,2022-10-01,Credit card,16188.32,60,15.154,485.65,Revolving credit
L000030,C001084,2021-12-01,Auto loan,31855.42,60,4.713,596.97,Vehicle purchase
L000031,C001793,2023-02-01,Personal loan,37280.24,48,5.908,873.95,Major purchase
L000032,C000654,2022-02-01,Credit card,2699.02,60,17.203,80.97,Revolving credit
L000033,C001004,2021-11-01,Credit card,2636.59,60,13.838,79.1,Revolving credit
L000034,C000917,2021-10-01,Personal loan,25063.51,60,7.782,505.58,Major purchase
L000035,C000810,2022-08-01,Personal loan,26835.98,36,11.74,888.01,Debt consolidation
L000036,C001508,2023-01-01,Credit card,22163.41,60,20.113,664.9,Revolving credit
L000037,C001520,2021-04-01,Mortgage,103260.87,240,5.386,703.7,Home purchase
L000038,C001815,2023-08-01,Personal loan,29725.2,60,15.293,711.75,Home improvement
L000039,C000305,2022-03-01,Credit card,8893.37,60,22.46,266.8,Revolving credit
L000040,C001310,2023-04-01,Personal loan,44799.21,24,13.521,2140.81,Home improvement
L000041,C001230,2021-04-01,Mortgage,156279.68,240,4.533,991.47,Home purchase
L000042,C000091,2023-08-01,Credit card,3985.59,60,21.588,119.57,Revolving credit
L000043,C001299,2021-08-01,Credit card,3344.87,60,12.807,100.35,Revolving credit
L000044,C001331,2023-07-01,Personal loan,3424.38,48,11.013,88.53,Education
L000045,C001503,2022-01-01,Credit card,6446.83,60,19.349,193.4,Revolving credit
L000046,C001704,2023-06-01,Personal loan,28665.58,36,5.515,865.78,Major purchase
L000047,C001251,2022-03-01,Credit card,5580.75,60,18.492,167.42,Revolving credit
L000048,C001556,2022-04-01,Auto loan,25006.98,48,4.574,571.08,Vehicle purchase
L000049,C000288,2023-04-01,Auto loan,19186.24,48,7.3,462.11,Vehicle purchase
L000050,C000221,2023-02-01,Mortgage,411484.75,240,4.583,2621.75,Home purchase
L000051,C000472,2023-07-01,Mortgage,352784.64,240,1.943,1775.18,Home purchase
L000052,C001507,2022-06-01,Credit card,23079.29,60,13.373,692.38,Revolving credit
L000053,C000629,2023-03-01,Credit card,20912.59,60,17.735,627.38,Revolving credit
L000054,C000107,2023-06-01,Auto loan,44093.26,72,6.878,749.16,Vehicle purchase
L000055,C000843,2023-02-01,Personal loan,23744.74,48,4.161,537.85,Debt consolidation
L000056,C001006,2018-11-01,Mortgage,139500.57,300,2.673,638.03,Home purchase
L000057,C000037,2023-07-01,Auto loan,39739.88,72,3.68,615.95,Vehicle purchase
L000058,C000126,2022-04-01,Auto loan,30529.7,72,8.882,548.52,Vehicle purchase
L000059,C000701,2023-06-01,Personal loan,20422.8,60,13.921,474.36,Debt consolidation
L000060,C001384,2023-03-01,Auto loan,27871.75,72,4.022,436.33,Vehicle purchase
L000061,C001755,2021-12-01,Credit card,14337.46,60,14.851,430.12,Revolving credit
L000062,C000596,2019-06-01,Mortgage,267863.95,180,4.579,2060.03,Home purchase
L000063,C001121,2023-02-01,Credit card,18237.19,60,23.259,547.12,Revolving credit
L000064,C001640,2022-10-01,Personal loan,26783.16,48,5.99,628.88,Debt consolidation
L000065,C000424,2023-07-01,Personal loan,43365.15,36,4.938,1298.48,Debt consolidation
L000066,C000485,2023-09-01,Personal loan,23108.94,24,6.339,1027.74,Debt consolidation
L000067,C001105,2021-11-01,Credit card,9713.95,60,15.444,291.42,Revolving credit
L000068,C001094,2022-02-01,Auto loan,19515.44,72,8.14,343.5,Vehicle purchase
L000069,C001737,2023-04-01,Personal loan,15005.1,24,5.018,658.41,Debt consolidation
L000070,C000904,2022-06-01,Mortgage,217332.36,240,5.428,1486.23,Home purchase
L000071,C000851,2022-01-01,Credit card,13668.29,60,18.6,410.05,Revolving credit
L000072,C000794,2022-11-01,Personal loan,43606.41,60,5.003,822.97,Major purchase
L000073,C000774,2019-05-01,Mortgage,407392.57,300,1.936,1714.03,Home purchase
L000074,C001374,2020-01-01,Mortgage,135336.91,300,4.176,727.55,Home purchase
L000075,C001203,2021-12-01,Personal loan,7396.26,60,12.221,165.35,Major purchase
L000076,C000460,2021-12-01,Credit card,22464.81,60,22.635,673.94,Revolving credit
L000077,C001889,2022-12-01,Credit card,19229.43,60,20.447,576.88,Revolving credit
L000078,C000872,2021-11-01,Credit card,20112.87,60,17.317,603.39,Revolving credit
L000079,C000424,2023-08-01,Personal loan,40029.35,36,11.742,1324.62,Debt consolidation
L000080,C001182,2021-12-01,Personal loan,39691.92,60,14.497,933.81,Home improvement
L000081,C001980,2022-07-01,Personal loan,30813.51,48,8.239,755.7,Debt consolidation
L000082,C000568,2022-08-01,Credit card,9165.65,60,15.623,274.97,Revolving credit
L000083,C000533,2018-11-01,Mortgage,331908.18,180,3.899,2438.28,Home purchase
L000084,C001644,2021-07-01,Personal loan,22854.88,60,15.42,548.77,Education
L000085,C001243,2021-08-01,Personal loan,42907.21,60,9.776,906.92,Education
L000086,C001379,2018-09-01,Mortgage,155035.52,240,4.686,996.5,Home purchase
L000087,C000496,2023-07-01,Credit card,9494.01,60,14.467,284.82,Revolving credit
L000088,C000248,2023-10-01,Credit card,16648.57,60,17.196,499.46,Revolving credit
L000089,C001479,2021-08-01,Credit card,11017.08,60,17.089,330.51,Revolving credit
L000090,C001935,2021-09-01,Personal loan,42364.67,60,15.609,1021.46,Debt consolidation
L000091,C001781,2023-09-01,Auto loan,58778.68,48,3.467,1313.2,Vehicle purchase
L000092,C001112,2022-07-01,Credit card,16792.5,60,20.384,503.78,Revolving credit
L000093,C000243,2020-03-01,Mortgage,354494.09,240,2.876,1944.1,Home purchase
L000094,C001132,2023-02-01,Personal loan,34100.3,36,5.215,1025.31,Education
L000095,C000543,2022-03-01,Auto loan,12233.54,60,4.511,228.13,Vehicle purchase
L000096,C000161,2023-06-01,Auto loan,21036.32,36,6.959,649.15,Vehicle purchase
L000097,C000501,2023-10-01,Personal loan,39820.69,36,12.969,1341.12,Debt consolidation
L000098,C000796,2022-11-01,Personal loan,25592.73,36,7.043,790.73,Home improvement
L000099,C001907,2023-05-01,Personal loan,43899.2,60,6.586,860.7,Major purchase
L000100,C000940,2023-09-01,Auto loan,52701.26,60,8.415,1079.09,Vehicle purchase
L000101,C001095,2022-05-01,Personal loan,15127.52,60,12.057,336.94,Debt consolidation
L000102,C000338,2022-08-01,Personal loan,36574.82,60,11.386,802.29,Home improvement
L000103,C001523,2022-10-01,Auto loan,45415.41,36,10.131,1468.23,Vehicle purchase
L000104,C001514,2023-06-01,Auto loan,27896.74,48,9.274,697.84,Vehicle purchase
L000105,C001899,2022-12-01,Credit card,5461.52,60,15.799,163.85,Revolving credit
L000106,C001756,2021-11-01,Credit card,9978.51,60,14.828,299.36,Revolving credit
L000107,C000156,2021-01-01,Personal loan,26754.34,72,9.531,489.35,Education
L000108,C000975,2022-11-01,Personal loan,33880.87,48,10.864,873.42,Major purchase
L000109,C000524,2022-10-01,Personal loan,23598.37,48,14.756,653.84,Debt consolidation
L000110,C001220,2021-08-01,Credit card,12362.69,60,22.427,370.88,Revolving credit
L000111,C001468,2022-12-01,Auto loan,13718.43,60,4.887,258.17,Vehicle purchase
L000112,C000423,2023-04-01,Personal loan,32430.94,48,14.709,897.8,Debt consolidation
L000113,C001184,2022-11-01,Personal loan,31929.24,48,13.297,861.29,Home improvement
L000114,C000239,2021-11-01,Credit card,6778.41,60,13.111,203.35,Revolving credit
L000115,C000688,2023-04-01,Credit card,10591.47,60,21.56,317.74,Revolving credit
L000116,C001168,2023-02-01,Mortgage,241905.71,240,4.194,1490.69,Home purchase
L000117,C000137,2022-10-01,Credit card,8652.0,60,18.421,259.56,Revolving credit
L000118,C000632,2021-10-01,Credit card,8692.55,60,21.112,260.78,Revolving credit
L000119,C001488,2022-09-01,Credit card,8146.65,60,18.022,244.4,Revolving credit
L000120,C000811,2021-10-01,Credit card,22206.06,60,15.836,666.18,Revolving credit
L000121,C000060,2022-04-01,Personal loan,42063.81,60,12.446,945.2,Debt consolidation
L000122,C000958,2021-11-01,Credit card,18898.5,60,22.557,566.95,Revolving credit
L000123,C000360,2023-01-01,Credit card,11735.05,60,21.607,352.05,Revolving credit
L000124,C000969,2019-07-01,Mortgage,183867.65,300,3.219,893.01,Home purchase
L000125,C001325,2022-01-01,Personal loan,15466.67,48,10.734,397.75,Debt consolidation
L000126,C001087,2018-03-01,Mortgage,191905.34,300,3.233,933.49,Home purchase
L000127,C000132,2023-09-01,Auto loan,35733.41,36,7.004,1103.41,Vehicle purchase
L000128,C000241,2022-04-01,Personal loan,23922.78,48,9.423,600.13,Major purchase
L000129,C001439,2021-12-01,Credit card,10993.06,60,18.231,329.79,Revolving credit
L000130,C001240,2022-09-01,Personal loan,30098.96,36,6.557,923.28,Home improvement
L000131,C000002,2022-07-01,Auto loan,10373.34,60,8.933,215.0,Vehicle purchase
L000132,C001908,2023-05-01,Personal loan,31182.82,72,10.595,587.1,Debt consolidation
L000133,C001644,2022-11-01,Credit card,17928.51,60,12.912,537.86,Revolving credit
L000134,C000912,2022-09-01,Auto loan,39548.58,60,3.795,724.69,Vehicle purchase
L000135,C001275,2021-12-01,Credit card,5247.27,60,22.198,157.42,Revolving credit
L000136,C001498,2022-04-01,Personal loan,50757.27,60,11.082,1105.66,Home improvement
L000137,C001446,2023-02-01,Personal loan,10007.99,48,15.116,279.12,Major purchase
L000138,C000633,2023-08-01,Auto loan,22508.99,36,6.116,685.95,Vehicle purchase
L000139,C000244,2019-04-01,Mortgage,287370.42,300,5.573,1777.22,Home purchase
L000140,C001768,2023-06-01,Personal loan,36447.45,48,14.611,1007.18,Major purchase
L000141,C000908,2022-07-01,Personal loan,12469.7,48,14.323,342.78,Debt consolidation
L000142,C001397,2021-12-01,Credit card,14209.37,60,20.338,426.28,Revolving credit
L000143,C000442,2023-01-01,Credit card,10900.35,60,18.742,327.01,Revolving credit
L000144,C001730,2022-05-01,Personal loan,9367.36,60,13.156,213.89,Education
L000145,C000175,2022-09-01,Mortgage,322977.5,240,3.798,1923.02,Home purchase
L000146,C001741,2022-11-01,Credit card,7799.47,60,18.953,233.98,Revolving credit
L000147,C001362,2022-08-01,Auto loan,57321.27,36,9.242,1829.27,Vehicle purchase
L000148,C001427,2022-03-01,Credit card,2893.67,60,15.44,86.81,Revolving credit
L000149,C001815,2018-02-01,Mortgage,153221.02,300,4.498,851.47,Home purchase
L000150,C001415,2021-01-01,Personal loan,7977.76,72,15.413,170.48,Debt consolidation
L000151,C001538,2019-09-01,Mortgage,199054.85,300,2.339,876.94,Home purchase
L000152,C001784,2022-10-01,Personal loan,12861.33,60,5.504,245.69,Major purchase
L000153,C001692,2022-10-01,Credit card,3011.4,60,17.013,90.34,Revolving credit
L000154,C000184,2023-08-01,Personal loan,49635.99,60,9.867,1051.38,Home improvement
L000155,C000832,2022-12-01,Personal loan,20761.7,60,13.807,481.02,Home improvement
L000156,C000257,2023-09-01,Credit card,4376.01,60,23.396,131.28,Revolving credit
L000157,C000933,2022-09-01,Personal loan,42912.19,36,5.405,1293.92,Home improvement
L000158,C000520,2023-06-01,Auto loan,46688.71,36,3.822,1374.74,Vehicle purchase
L000159,C001136,2018-02-01,Mortgage,303219.45,180,5.248,2437.27,Home purchase
L000160,C000807,2023-01-01,Auto loan,42664.28,72,6.717,721.59,Vehicle purchase
L000161,C000471,2023-04-01,Credit card,13679.88,60,15.1,410.4,Revolving credit
L000162,C000064,2020-07-01,Mortgage,356306.0,240,2.402,1871.18,Home purchase
L000163,C000890,2021-10-01,Auto loan,28165.96,60,10.299,602.59,Vehicle purchase
L000164,C001231,2021-11-01,Credit card,22907.7,60,14.138,687.23,Revolving credit
L000165,C001211,2023-08-01,Auto loan,15797.86,48,5.587,368.03,Vehicle purchase
L000166,C001023,2022-07-01,Personal loan,22007.22,48,10.222,560.51,Debt consolidation
L000167,C000182,2023-01-01,Credit card,13887.38,60,23.557,416.62,Revolving credit
L000168,C000530,2022-10-01,Personal loan,27577.18,36,12.071,916.9,Major purchase
L000169,C000391,2023-05-01,Auto loan,10826.73,72,8.397,191.93,Vehicle purchase
L000170,C001565,2021-08-01,Mortgage,209571.35,240,2.885,1150.24,Home purchase
L000171,C000502,2023-02-01,Auto loan,28208.5,48,4.974,649.29,Vehicle purchase
L000172,C000104,2023-01-01,Auto loan,48554.52,60,5.409,925.4,Vehicle purchase
L000173,C001458,2022-06-01,Auto loan,46997.88,60,8.556,965.5,Vehicle purchase
L000174,C000536,2022-09-01,Personal loan,32779.75,36,11.163,1075.69,Home improvement
L000175,C000657,2022-08-01,Personal loan,14913.81,60,7.116,296.13,Home improvement
L000176,C001624,2021-07-01,Credit card,8812.39,60,17.876,264.37,Revolving credit
L000177,C001684,2019-01-01,Mortgage,414154.87,240,1.85,2065.86,Home purchase
L000178,C000742,2023-04-01,Auto loan,43186.0,48,7.442,1043.01,Vehicle purchase
L000179,C001970,2022-09-01,Credit card,7754.96,60,17.52,232.65,Revolving credit
L000180,C000046,2019-03-01,Mortgage,329624.82,240,4.145,2022.72,Home purchase
L000181,C001627,2023-02-01,Personal loan,17204.54,48,6.733,409.86,Home improvement
L000182,C000376,2023-07-01,Personal loan,30084.45,36,14.151,1030.42,Debt consolidation
L000183,C000362,2021-12-01,Credit card,17565.45,60,15.999,526.96,Revolving credit
L000184,C000389,2022-05-01,Personal loan,24360.03,48,8.125,596.13,Debt consolidation
L000185,C000301,2023-07-01,Credit card,12992.09,60,21.104,389.76,Revolving credit
L000186,C002003,2022-07-01,Credit card,11408.73,60,18.113,342.26,Revolving credit
L000187,C000855,2023-08-01,Auto loan,25355.72,60,10.488,544.85,Vehicle purchase
L000188,C001220,2023-10-01,Personal loan,43904.39,60,6.265,854.22,Debt consolidation
L000189,C000113,2023-10-01,Personal loan,6899.79,36,5.254,207.58,Home improvement
L000190,C000306,2023-04-01,Personal loan,33421.36,24,4.03,1451.76,Major purchase
L000191,C000367,2022-08-01,Personal loan,50098.28,36,11.805,1659.33,Home improvement
L000192,C001852,2021-10-01,Personal loan,4901.59,60,5.394,93.39,Major purchase
L000193,C000235,2022-08-01,Credit card,19565.65,60,18.971,586.97,Revolving credit
L000194,C001492,2023-05-01,Credit card,17004.53,60,19.546,510.14,Revolving credit
L000195,C000393,2023-05-01,Auto loan,33726.87,60,7.765,680.07,Vehicle purchase
L000196,C001721,2022-03-01,Auto loan,10851.47,60,5.704,208.3,Vehicle purchase
L000197,C001962,2021-07-01,Mortgage,360803.91,300,2.973,1705.98,Home purchase
L000198,C000690,2022-07-01,Credit card,5308.38,60,17.01,159.25,Revolving credit
L000199,C001613,2022-02-01,Auto loan,51320.3,60,6.983,1015.8,Vehicle purchase
L000200,C001086,2021-04-01,Mortgage,336989.01,240,5.168,2255.34,Home purchase
L000201,C000148,2022-08-01,Auto loan,15874.55,36,5.861,481.94,Vehicle purchase
L000202,C001632,2022-08-01,Personal loan,14803.51,60,7.927,299.64,Home improvement
L000203,C001975,2023-04-01,Credit card,10241.14,60,18.566,307.23,Revolving credit
L000204,C000496,2023-02-01,Personal loan,34243.45,36,12.736,1149.45,Home improvement
L000205,C001055,2023-06-01,Auto loan,25653.98,36,8.588,810.88,Vehicle purchase
L000206,C001769,2022-05-01,Personal loan,49324.34,72,9.514,901.73,Debt consolidation
L000207,C000895,2018-10-01,Mortgage,404284.09,300,2.586,1831.3,Home purchase
L000208,C000286,2023-07-01,Personal loan,7616.97,36,9.773,244.97,Home improvement
L000209,C001075,2022-07-01,Credit card,12152.64,60,18.95,364.58,Revolving credit
L000210,C000881,2018-10-01,Mortgage,240335.84,240,2.878,1318.31,Home purchase
L000211,C001679,2023-05-01,Personal loan,42547.37,24,8.761,1939.11,Debt consolidation
L000212,C000491,2022-10-01,Mortgage,289907.12,180,4.675,2243.8,Home purchase
L000213,C001039,2023-01-01,Credit card,16181.37,60,18.438,485.44,Revolving credit
L000214,C001827,2023-08-01,Personal loan,50666.65,48,15.555,1424.38,Debt consolidation
L000215,C001751,2022-03-01,Personal loan,28789.81,72,10.227,536.66,Major purchase
L000216,C000044,2021-07-01,Personal loan,29912.32,60,9.457,627.58,Debt consolidation
L000217,C001075,2022-03-01,Credit card,12542.59,60,18.36,376.28,Revolving credit
L000218,C001598,2022-07-01,Auto loan,22585.43,60,3.804,413.95,Vehicle purchase
L000219,C001070,2020-06-01,Mortgage,383846.18,240,4.436,2415.15,Home purchase
L000220,C000222,2023-06-01,Personal loan,21803.36,36,14.763,753.29,Home improvement
L000221,C000897,2022-10-01,Personal loan,34220.65,60,14.741,809.46,Debt consolidation
L000222,C000247,2023-07-01,Auto loan,45178.72,48,4.392,1028.05,Vehicle purchase
L000223,C000018,2023-10-01,Personal loan,9657.19,24,15.179,469.07,Home improvement
L000224,C000228,2023-09-01,Personal loan,48473.29,60,4.384,901.13,Home improvement
L000225,C000891,2019-01-01,Mortgage,211647.57,300,3.742,1087.18,Home purchase
L000226,C001110,2021-08-01,Auto loan,26463.93,60,4.928,498.53,Vehicle purchase
L000227,C000566,2022-11-01,Credit card,8038.73,60,13.999,241.16,Revolving credit
L000228,C001716,2022-12-01,Auto loan,50522.45,60,3.779,925.41,Vehicle purchase
L000229,C001345,2022-01-01,Auto loan,22875.49,60,6.03,442.57,Vehicle purchase
L000230,C000472,2022-05-01,Mortgage,369724.69,240,3.842,2209.74,Home purchase
L000231,C001362,2022-11-01,Personal loan,51504.38,48,14.977,1432.81,Debt consolidation
L000232,C001363,2021-10-01,Credit card,3711.67,60,13.207,111.35,Revolving credit
L000233,C001229,2022-07-01,Credit card,20400.01,60,19.654,612.0,Revolving credit
L000234,C000482,2023-03-01,Personal loan,29744.35,36,7.404,923.92,Debt consolidation
L000235,C001168,2020-07-01,Mortgage,385129.87,240,2.937,2123.76,Home purchase
L000236,C000433,2022-12-01,Credit card,4916.58,60,20.226,147.5,Revolving credit
L000237,C001492,2023-05-01,Credit card,9557.13,60,12.841,286.71,Revolving credit
L000238,C000086,2021-10-01,Credit card,4726.35,60,14.265,141.79,Revolving credit
L000239,C000809,2021-12-01,Auto loan,58921.43,60,10.124,1255.49,Vehicle purchase
L000240,C000203,2022-11-01,Personal loan,17711.72,48,10.557,453.97,Major purchase
L000241,C000504,2023-04-01,Credit card,14281.36,60,23.556,428.44,Revolving credit
L000242,C001699,2022-03-01,Credit card,3187.31,60,21.852,95.62,Revolving credit
L000243,C001518,2022-11-01,Mortgage,316160.08,240,4.864,2062.81,Home purchase
L000244,C001572,2023-02-01,Mortgage,347991.83,240,5.662,2425.76,Home purchase
L000245,C001435,2022-11-01,Credit card,2537.76,60,13.503,76.13,Revolving credit
L000246,C000443,2022-10-01,Credit card,6501.4,60,12.998,195.04,Revolving credit
L000247,C001776,2023-03-01,Personal loan,33546.65,36,4.029,990.86,Major purchase
L000248,C000258,2023-01-01,Credit card,15528.64,60,18.522,465.86,Revolving credit
L000249,C001018,2023-10-01,Auto loan,23467.36,72,4.186,369.15,Vehicle purchase
L000250,C000764,2022-09-01,Auto loan,30452.15,48,5.23,704.47,Vehicle purchase
L000251,C000796,2022-09-01,Auto loan,49544.14,60,7.575,994.52,Vehicle purchase
L000252,C000381,2023-02-01,Auto loan,38132.31,60,9.44,799.72,Vehicle purchase
L000253,C000362,2022-04-01,Personal loan,52393.37,48,11.196,1359.14,Education
L000254,C001791,2023-02-01,Credit card,16379.08,60,14.734,491.37,Revolving credit
L000255,C000262,2022-05-01,Mortgage,134563.94,300,2.528,605.59,Home purchase
L000256,C000559,2023-04-01,Personal loan,32129.62,36,14.659,1108.43,Home improvement
L000257,C000835,2022-06-01,Credit card,12822.68,60,15.929,384.68,Revolving credit
L000258,C001578,2022-01-01,Auto loan,57408.27,48,8.862,1424.84,Vehicle purchase
L000259,C001579,2022-12-01,Credit card,2046.84,60,22.608,61.41,Revolving credit
L000260,C001047,2022-01-01,Mortgage,180789.49,300,5.462,1106.1,Home purchase
L000261,C001038,2022-08-01,Personal loan,6195.49,36,15.572,216.51,Debt consolidation
L000262,C001023,2023-10-01,Personal loan,35841.75,36,15.458,1250.52,Debt consolidation
L000263,C001297,2021-01-01,Mortgage,272882.3,180,2.15,1774.98,Home purchase
L000264,C001734,2022-07-01,Credit card,23892.27,60,14.622,716.77,Revolving credit
L000265,C000849,2022-06-01,Personal loan,7981.0,48,14.857,221.54,Major purchase
L000266,C000334,2022-02-01,Credit card,9690.58,60,22.762,290.72,Revolving credit
L000267,C001368,2022-03-01,Auto loan,34073.32,60,5.765,655.01,Vehicle purchase
L000268,C000794,2023-05-01,Personal loan,51993.17,24,9.711,2392.29,Major purchase
L000269,C001867,2022-08-01,Personal loan,44785.97,36,9.427,1433.1,Home improvement
L000270,C001020,2021-07-01,Auto loan,18519.61,60,5.765,356.02,Vehicle purchase
L000271,C000091,2022-12-01,Credit card,5202.01,60,17.672,156.06,Revolving credit
L000272,C001938,2023-10-01,Auto loan,16630.59,60,4.023,306.45,Vehicle purchase
L000273,C001789,2022-12-01,Credit card,2916.72,60,19.101,87.5,Revolving credit
L000274,C001570,2023-05-01,Credit card,17139.43,60,14.81,514.18,Revolving credit
L000275,C000941,2023-02-01,Auto loan,57709.3,36,9.515,1849.0,Vehicle purchase
L000276,C001938,2021-07-01,Auto loan,56508.38,60,4.575,1055.41,Vehicle purchase
L000277,C001622,2022-01-01,Auto loan,30850.04,60,5.641,591.28,Vehicle purchase
L000278,C000266,2022-03-01,Personal loan,18848.64,48,13.193,507.47,Home improvement
L000279,C000919,2019-11-01,Mortgage,161001.88,180,3.063,1116.72,Home purchase
L000280,C001155,2023-06-01,Personal loan,43095.58,36,9.32,1376.85,Debt consolidation
L000281,C001806,2022-05-01,Personal loan,45583.58,48,12.261,1206.24,Debt consolidation
L000282,C001533,2022-08-01,Credit card,4385.7,60,16.816,131.57,Revolving credit
L000283,C000979,2023-05-01,Personal loan,39475.13,72,12.09,773.6,Major purchase
L000284,C000302,2023-01-01,Credit card,6661.41,60,22.639,199.84,Revolving credit
L000285,C001229,2021-07-01,Personal loan,21220.05,60,11.428,465.92,Education
L000286,C001510,2022-10-01,Credit card,16606.83,60,22.218,498.2,Revolving credit
L000287,C000747,2022-09-01,Credit card,14781.27,60,21.834,443.44,Revolving credit
L000288,C000082,2023-03-01,Auto loan,10398.65,60,10.057,221.23,Vehicle purchase
L000289,C000015,2023-04-01,Auto loan,12563.89,60,3.558,228.88,Vehicle purchase
L000290,C001892,2023-09-01,Credit card,12800.84,60,18.152,384.03,Revolving credit
L000291,C000412,2022-10-01,Personal loan,20464.28,60,13.12,466.89,Debt consolidation
L000292,C001599,2023-05-01,Auto loan,38835.33,36,7.528,1208.52,Vehicle purchase
L000293,C000984,2018-12-01,Mortgage,332033.2,240,4.754,2146.42,Home purchase
L000294,C001441,2022-09-01,Personal loan,28791.43,36,9.51,922.41,Home improvement
L000295,C000463,2023-01-01,Credit card,12926.03,60,18.309,387.78,Revolving credit
L000296,C001528,2023-07-01,Credit card,14731.16,60,17.854,441.93,Revolving credit
L000297,C001042,2021-09-01,Credit card,14714.46,60,14.195,441.43,Revolving credit
L000298,C000775,2023-02-01,Personal loan,15426.73,24,11.4,721.87,Home improvement
L000299,C000544,2022-11-01,Credit card,18236.96,60,21.425,547.11,Revolving credit
L000300,C000704,2022-07-01,Personal loan,34107.59,36,10.477,1108.2,Debt consolidation
L000301,C000807,2023-06-01,Personal loan,22156.27,48,10.733,569.77,Home improvement
L000302,C001768,2021-11-01,Personal loan,51500.49,60,10.698,1112.01,Home improvement
L000303,C000228,2021-07-01,Personal loan,53202.68,60,9.84,1126.23,Debt consolidation
L000304,C001308,2021-03-01,Personal loan,15877.02,72,4.903,254.98,Major purchase
L000305,C000142,2022-08-01,Auto loan,18969.04,60,9.439,397.82,Vehicle purchase
L000306,C001667,2023-10-01,Credit card,21578.07,60,21.517,647.34,Revolving credit
L000307,C001116,2023-09-01,Personal loan,50982.41,60,7.217,1014.73,Major purchase
L000308,C001942,2023-10-01,Personal loan,13033.47,36,10.898,426.07,Home improvement
L000309,C001703,2023-04-01,Credit card,22637.44,60,19.813,679.12,Revolving credit
L000310,C000318,2022-11-01,Personal loan,19897.44,48,14.09,544.63,Home improvement
L000311,C001237,2023-05-01,Auto loan,26719.12,48,6.238,630.42,Vehicle purchase
L000312,C000695,2022-08-01,Personal loan,15997.85,36,9.784,514.59,Major purchase
L000313,C000255,2021-01-01,Mortgage,355467.43,300,5.133,2105.62,Home purchase
L000314,C001024,2020-01-01,Mortgage,265784.08,300,2.006,1127.3,Home purchase
L000315,C000350,2023-07-01,Auto loan,9024.12,48,5.325,209.15,Vehicle purchase
L000316,C001383,2021-11-01,Credit card,16618.07,60,13.479,498.54,Revolving credit
L000317,C000808,2023-06-01,Credit card,9912.44,60,21.661,297.37,Revolving credit
L000318,C001347,2019-02-01,Mortgage,321408.78,300,4.008,1697.88,Home purchase
L000319,C000699,2021-09-01,Credit card,17485.58,60,14.526,524.57,Revolving credit
L000320,C000476,2022-04-01,Credit card,4258.17,60,15.728,127.75,Revolving credit
L000321,C001165,2022-10-01,Personal loan,7372.72,60,15.345,176.74,Major purchase
L000322,C000690,2021-08-01,Credit card,5384.4,60,22.826,161.53,Revolving credit
L000323,C000176,2022-03-01,Personal loan,35202.55,48,7.572,852.35,Home improvement
