loan_id,snapshot_month,actual_synthetic_target,predicted_probability,risk_tier,data_split
L000064,2024-01-01,0,0.03082816,Low,train
L000065,2024-01-01,0,0.03475449,Monitor,train
L000066,2024-01-01,0,0.02842845,Low,train
L000067,2024-01-01,0,0.02930443,Low,train
L000068,2024-01-01,0,0.03937513,Monitor,train
L000069,2024-01-01,0,0.03335311,Low,train
L000070,2024-01-01,0,0.05929224,High,train
L000071,2024-01-01,0,0.02393988,Low,train
L000072,2024-01-01,0,0.03911578,Monitor,train
L000073,2024-01-01,0,0.04287876,Monitor,train
L000074,2024-01-01,0,0.03985973,Monitor,train
L000075,2024-01-01,0,0.02643447,Low,train
L000076,2024-01-01,0,0.02924229,Low,train
L000077,2024-01-01,0,0.03387183,Low,train
L000078,2024-01-01,0,0.02844063,Low,train
L000079,2024-01-01,0,0.03869752,Monitor,train
L000080,2024-01-01,0,0.02875557,Low,train
L000081,2024-01-01,0,0.0278351,Low,train
L000082,2024-01-01,0,0.03065042,Low,train
L000083,2024-01-01,1,0.22381376,Critical,train
L000084,2024-01-01,0,0.03076036,Low,train
L000085,2024-01-01,0,0.06325531,High,train
L000086,2024-01-01,0,0.04091352,Monitor,train
L000087,2024-01-01,0,0.06805382,High,train
L000088,2024-01-01,0,0.02800674,Low,train
L000089,2024-01-01,0,0.03125949,Low,train
L000090,2024-01-01,0,0.04332067,Monitor,train
L000091,2024-01-01,0,0.03707877,Monitor,train
L000092,2024-01-01,1,0.03336374,Low,train
L000093,2024-01-01,0,0.44616446,Critical,train
L000094,2024-01-01,0,0.03310459,Low,train
L000095,2024-01-01,0,0.03046002,Low,train
L000096,2024-01-01,0,0.0308943,Low,train
L000097,2024-01-01,0,0.03725088,Monitor,train
L000098,2024-01-01,0,0.03216893,Low,train
L000099,2024-01-01,0,0.0301394,Low,train
L000100,2024-01-01,0,0.02966648,Low,train
L000101,2024-01-01,0,0.03485742,Monitor,train
L000102,2024-01-01,0,0.03456087,Low,train
L000103,2024-01-01,0,0.04975098,High,train
L000104,2024-01-01,0,0.02988612,Low,train
L000105,2024-01-01,0,0.02458193,Low,train
L000106,2024-01-01,0,0.03394449,Low,train
L000107,2024-01-01,0,0.03732678,Monitor,train
L000108,2024-01-01,0,0.05296423,High,train
L000109,2024-01-01,0,0.06912989,High,train
L000110,2024-01-01,0,0.03058898,Low,train
L000111,2024-01-01,0,0.02492921,Low,train
L000112,2024-01-01,1,0.0287581,Low,train
L000113,2024-01-01,0,0.02705765,Low,train
L000114,2024-01-01,0,0.02580952,Low,train
L000115,2024-01-01,0,0.032755,Low,train
L000116,2024-01-01,0,0.05523736,High,train
L000117,2024-01-01,0,0.02989242,Low,train
L000118,2024-01-01,0,0.02718847,Low,train
L000119,2024-01-01,0,0.03363231,Low,train
L000120,2024-01-01,0,0.04182255,Monitor,train
L000121,2024-01-01,0,0.04454105,Monitor,train
L000122,2024-01-01,0,0.02712486,Low,train
L000123,2024-01-01,0,0.03024915,Low,train
L000124,2024-01-01,0,0.03584856,Monitor,train
L000125,2024-01-01,0,0.03900015,Monitor,train
L000126,2024-01-01,0,0.04148201,Monitor,train
L000127,2024-01-01,0,0.0252644,Low,train
L000128,2024-01-01,0,0.02579322,Low,train
L000129,2024-01-01,0,0.02470542,Low,train
L000130,2024-01-01,0,0.02833946,Low,train
L000131,2024-01-01,0,0.0275089,Low,train
L000132,2024-01-01,0,0.0302238,Low,train
L000133,2024-01-01,0,0.03305675,Low,train
L000134,2024-01-01,0,0.03164664,Low,train
L000135,2024-01-01,1,0.02832547,Low,train
L000136,2024-01-01,0,0.03245201,Low,train
L000137,2024-01-01,0,0.02950733,Low,train
L000138,2024-01-01,0,0.03752828,Monitor,train
L000139,2024-01-01,0,0.03550839,Monitor,train
L000140,2024-01-01,0,0.03567661,Monitor,train
L000141,2024-01-01,0,0.02912202,Low,train
L000142,2024-01-01,0,0.03625038,Monitor,train
L000143,2024-01-01,0,0.02934694,Low,train
L000144,2024-01-01,0,0.03428592,Low,train
L000145,2024-01-01,0,0.0394647,Monitor,train
L000146,2024-01-01,0,0.02825645,Low,train
L000147,2024-01-01,0,0.02918961,Low,train
L000148,2024-01-01,0,0.14729468,Critical,train
L000149,2024-01-01,0,0.13777834,Critical,train
L000150,2024-01-01,1,0.03088731,Low,train
L000151,2024-01-01,0,0.13052776,Critical,train
L000152,2024-01-01,0,0.02734821,Low,train
L000153,2024-01-01,0,0.02182197,Low,train
L000154,2024-01-01,0,0.04556555,Monitor,train
L000155,2024-01-01,0,0.03730118,Monitor,train
L000156,2024-01-01,0,0.02930454,Low,train
L000157,2024-01-01,0,0.03543108,Monitor,train
L000158,2024-01-01,0,0.02272372,Low,train
L000159,2024-01-01,0,0.05872693,High,train
L000160,2024-01-01,0,0.0269107,Low,train
L000161,2024-01-01,0,0.02901742,Low,train
L000162,2024-01-01,0,0.05123406,High,train
L000163,2024-01-01,0,0.04004115,Monitor,train
L000164,2024-01-01,0,0.03383726,Low,train
L000165,2024-01-01,0,0.02625768,Low,train
L000166,2024-01-01,0,0.0465331,High,train
L000167,2024-01-01,0,0.03403596,Low,train
L000168,2024-01-01,0,0.03281211,Low,train
L000169,2024-01-01,0,0.02711061,Low,train
L000170,2024-01-01,0,0.03951241,Monitor,train
L000171,2024-01-01,0,0.03660998,Monitor,train
L000172,2024-01-01,0,0.03615686,Monitor,train
L000173,2024-01-01,0,0.06454107,High,train
L000174,2024-01-01,0,0.025877,Low,train
L000175,2024-01-01,1,0.03859065,Monitor,train
L000176,2024-01-01,0,0.02279201,Low,train
L000177,2024-01-01,0,0.04144261,Monitor,train
L000178,2024-01-01,0,0.03598074,Monitor,train
L000179,2024-01-01,0,0.03609211,Monitor,train
L000180,2024-01-01,0,0.05536886,High,train
L000181,2024-01-01,0,0.04433501,Monitor,train
L000182,2024-01-01,0,0.03855669,Monitor,train
L000183,2024-01-01,0,0.03364065,Low,train
L000184,2024-01-01,0,0.03532662,Monitor,train
L000185,2024-01-01,0,0.03377409,Low,train
L000186,2024-01-01,0,0.03507117,Monitor,train
L000187,2024-01-01,1,0.02900615,Low,train
L000188,2024-01-01,0,0.03943106,Monitor,train
L000189,2024-01-01,0,0.02138601,Low,train
L000190,2024-01-01,0,0.04456725,Monitor,train
L000191,2024-01-01,0,0.03146116,Low,train
L000192,2024-01-01,0,0.03075086,Low,train
L000193,2024-01-01,0,0.03087,Low,train
L000194,2024-01-01,1,0.02421548,Low,train
L000195,2024-01-01,0,0.03388395,Low,train
L000196,2024-01-01,0,0.02553632,Low,train
L000197,2024-01-01,0,0.04124089,Monitor,train
L000198,2024-01-01,0,0.04564363,Monitor,train
L000199,2024-01-01,0,0.02860797,Low,train
L000200,2024-01-01,0,0.03410269,Low,train
L000201,2024-01-01,0,0.02108171,Low,train
L000202,2024-01-01,1,0.04105084,Monitor,train
L000203,2024-01-01,0,0.0326535,Low,train
L000204,2024-01-01,0,0.03772085,Monitor,train
L000205,2024-01-01,0,0.04451219,Monitor,train
L000206,2024-01-01,0,0.03318296,Low,train
L000207,2024-01-01,0,0.05076704,High,train
L000208,2024-01-01,0,0.03243001,Low,train
L000209,2024-01-01,0,0.06655648,High,train
L000210,2024-01-01,0,0.04435338,Monitor,train
L000211,2024-01-01,0,0.04313106,Monitor,train
L000212,2024-01-01,0,0.06928624,High,train
L000213,2024-01-01,0,0.02767936,Low,train
L000214,2024-01-01,0,0.0436023,Monitor,train
L000215,2024-01-01,0,0.03685939,Monitor,train
L000216,2024-01-01,0,0.03652113,Monitor,train
L000217,2024-01-01,0,0.0504415,High,train
L000218,2024-01-01,0,0.03490513,Monitor,train
L000219,2024-01-01,0,0.0442903,Monitor,train
L000220,2024-01-01,0,0.0394153,Monitor,train
L000221,2024-01-01,0,0.04834086,High,train
L000222,2024-01-01,0,0.04050976,Monitor,train
L000223,2024-01-01,0,0.03535205,Monitor,train
L000224,2024-01-01,0,0.03381096,Low,train
L000225,2024-01-01,0,0.03876557,Monitor,train
L000226,2024-01-01,1,0.03468437,Monitor,train
L000227,2024-01-01,0,0.01926826,Low,train
L000228,2024-01-01,0,0.03730249,Monitor,train
L000229,2024-01-01,1,0.02666386,Low,train
L000230,2024-01-01,0,0.0437553,Monitor,train
L000231,2024-01-01,0,0.03892477,Monitor,train
L000232,2024-01-01,0,0.14050937,Critical,train
L000233,2024-01-01,0,0.02759031,Low,train
L000234,2024-01-01,0,0.03028744,Low,train
L000235,2024-01-01,0,0.04171721,Monitor,train
L000236,2024-01-01,0,0.02944321,Low,train
L000237,2024-01-01,0,0.05251603,High,train
L000238,2024-01-01,0,0.05705713,High,train
L000239,2024-01-01,0,0.03421115,Low,train
L000240,2024-01-01,0,0.04403348,Monitor,train
L000241,2024-01-01,0,0.0264304,Low,train
L000242,2024-01-01,0,0.04003548,Monitor,train
L000243,2024-01-01,0,0.04956672,High,train
L000244,2024-01-01,0,0.04126442,Monitor,train
L000245,2024-01-01,0,0.02602921,Low,train
L000246,2024-01-01,0,0.02407578,Low,train
L000247,2024-01-01,0,0.03464749,Monitor,train
L000248,2024-01-01,0,0.0259324,Low,train
L000249,2024-01-01,0,0.02725965,Low,train
L000250,2024-01-01,0,0.03025818,Low,train
L000251,2024-01-01,0,0.03457693,Low,train
L000252,2024-01-01,0,0.04220732,Monitor,train
L000253,2024-01-01,0,0.0415539,Monitor,train
L000254,2024-01-01,0,0.02520959,Low,train
L000255,2024-01-01,1,0.02640516,Low,train
L000256,2024-01-01,0,0.0233707,Low,train
L000257,2024-01-01,0,0.02797052,Low,train
L000258,2024-01-01,1,0.28175554,Critical,train
L000259,2024-01-01,0,0.02810858,Low,train
L000260,2024-01-01,0,0.03247105,Low,train
L000261,2024-01-01,0,0.03419387,Low,train
L000262,2024-01-01,0,0.16459251,Critical,train
L000263,2024-01-01,0,0.04039412,Monitor,train
L000264,2024-01-01,0,0.02992792,Low,train
L000265,2024-01-01,0,0.03052579,Low,train
L000266,2024-01-01,0,0.02877394,Low,train
L000267,2024-01-01,0,0.03418851,Low,train
L000268,2024-01-01,0,0.04788271,High,train
L000269,2024-01-01,0,0.04575086,High,train
L000270,2024-01-01,0,0.02733545,Low,train
L000271,2024-01-01,0,0.02984149,Low,train
L000272,2024-01-01,1,0.03170085,Low,train
L000273,2024-01-01,0,0.11250321,Critical,train
L000274,2024-01-01,0,0.02064262,Low,train
L000275,2024-01-01,0,0.03538658,Monitor,train
L000276,2024-01-01,0,0.14460245,Critical,train
L000277,2024-01-01,0,0.02683794,Low,train
L000278,2024-01-01,0,0.03828886,Monitor,train
L000279,2024-01-01,0,0.41570539,Critical,train
L000280,2024-01-01,0,0.06003695,High,train
L000281,2024-01-01,0,0.04249207,Monitor,train
L000282,2024-01-01,0,0.0356343,Monitor,train
L000283,2024-01-01,0,0.0320146,Low,train
L000284,2024-01-01,0,0.07290458,High,train
L000285,2024-01-01,0,0.02666625,Low,train
L000286,2024-01-01,0,0.20017162,Critical,train
L000287,2024-01-01,0,0.02937073,Low,train
L000288,2024-01-01,0,0.03908476,Monitor,train
L000289,2024-01-01,0,0.06194653,High,train
L000290,2024-01-01,0,0.02754924,Low,train
L000291,2024-01-01,0,0.06254506,High,train
L000292,2024-01-01,0,0.03163412,Low,train
L000293,2024-01-01,0,0.05040588,High,train
L000294,2024-01-01,0,0.02623198,Low,train
L000295,2024-01-01,0,0.03000388,Low,train
L000296,2024-01-01,0,0.02376973,Low,train
L000297,2024-01-01,0,0.04855841,High,train
L000298,2024-01-01,0,0.03709353,Monitor,train
L000299,2024-01-01,0,0.03045456,Low,train
L000300,2024-01-01,0,0.03265327,Low,train
L000301,2024-01-01,0,0.0308679,Low,train
L000302,2024-01-01,0,0.04279197,Monitor,train
L000303,2024-01-01,0,0.03686475,Monitor,train
L000304,2024-01-01,0,0.02786197,Low,train
L000305,2024-01-01,0,0.0311234,Low,train
L000306,2024-01-01,0,0.02980203,Low,train
L000307,2024-01-01,0,0.03386871,Low,train
L000308,2024-01-01,0,0.03168564,Low,train
L000309,2024-01-01,0,0.03075932,Low,train
L000310,2024-01-01,0,0.0279294,Low,train
L000311,2024-01-01,0,0.02945123,Low,train
L000312,2024-01-01,0,0.02813686,Low,train
L000313,2024-01-01,0,0.05201639,High,train
L000314,2024-01-01,0,0.03676799,Monitor,train
L000315,2024-01-01,0,0.02954771,Low,train
L000316,2024-01-01,0,0.03719845,Monitor,train
L000317,2024-01-01,0,0.03517901,Monitor,train
L000318,2024-01-01,1,0.25043907,Critical,train
L000319,2024-01-01,1,0.06510049,High,train
L000320,2024-01-01,0,0.04244496,Monitor,train
L000321,2024-01-01,0,0.03087889,Low,train
L000322,2024-01-01,0,0.05755161,High,train
L000323,2024-01-01,0,0.04250147,Monitor,train
L000324,2024-01-01,0,0.0392986,Monitor,train
L000325,2024-01-01,0,0.04397136,Monitor,train
L000326,2024-01-01,0,0.03483642,Monitor,train
L000327,2024-01-01,0,0.03789154,Monitor,train
L000328,2024-01-01,0,0.02736642,Low,train
L000329,2024-01-01,0,0.02850856,Low,train
L000330,2024-01-01,0,0.03217809,Low,train
L000331,2024-01-01,0,0.03020809,Low,train
L000332,2024-01-01,0,0.03033768,Low,train
L000333,2024-01-01,0,0.03547791,Monitor,train
L000334,2024-01-01,0,0.03336731,Low,train
L000335,2024-01-01,0,0.03219305,Low,train
L000336,2024-01-01,0,0.02236443,Low,train
L000337,2024-01-01,0,0.06831567,High,train
L000338,2024-01-01,0,0.03648491,Monitor,train
L000339,2024-01-01,0,0.02760994,Low,train
L000340,2024-01-01,0,0.02693916,Low,train
L000341,2024-01-01,0,0.0418183,Monitor,train
L000342,2024-01-01,0,0.03057495,Low,train
L000343,2024-01-01,0,0.02485994,Low,train
L000344,2024-01-01,0,0.03349984,Low,train
L000345,2024-01-01,0,0.06416838,High,train
L000346,2024-01-01,0,0.02814744,Low,train
L000347,2024-01-01,0,0.15483209,Critical,train
L000348,2024-01-01,0,0.037825,Monitor,train
L000349,2024-01-01,0,0.03996032,Monitor,train
L000350,2024-01-01,0,0.03367774,Low,train
L000351,2024-01-01,0,0.02669546,Low,train
L000352,2024-01-01,0,0.02952464,Low,train
L000353,2024-01-01,0,0.02501012,Low,train
L000354,2024-01-01,0,0.03230101,Low,train
L000355,2024-01-01,0,0.02951028,Low,train
L000356,2024-01-01,1,0.2755508,Critical,train
L000357,2024-01-01,0,0.03020712,Low,train
L000358,2024-01-01,0,0.05138045,High,train
L000359,2024-01-01,0,0.12566285,Critical,train
L000360,2024-01-01,0,0.0343979,Low,train
L000361,2024-01-01,0,0.04519474,Monitor,train
L000362,2024-01-01,0,0.03107961,Low,train
L000363,2024-01-01,0,0.02608257,Low,train
L000364,2024-01-01,1,0.16753553,Critical,train
L000365,2024-01-01,0,0.02873636,Low,train
L000366,2024-01-01,0,0.03089255,Low,train
L000367,2024-01-01,0,0.03350618,Low,train
L000368,2024-01-01,0,0.04039538,Monitor,train
L000369,2024-01-01,0,0.03034972,Low,train
L000370,2024-01-01,0,0.03169317,Low,train
L000371,2024-01-01,0,0.03718975,Monitor,train
L000372,2024-01-01,0,0.03397223,Low,train
L000373,2024-01-01,0,0.03411586,Low,train
L000374,2024-01-01,0,0.02049792,Low,train
L000375,2024-01-01,0,0.02393858,Low,train
L000376,2024-01-01,0,0.02921577,Low,train
L000377,2024-01-01,0,0.03431377,Low,train
L000378,2024-01-01,0,0.02874189,Low,train
L000379,2024-01-01,0,0.03156209,Low,train
L000380,2024-01-01,0,0.04191348,Monitor,train
L000381,2024-01-01,0,0.03029217,Low,train
L000382,2024-01-01,0,0.02971551,Low,train
L000383,2024-01-01,0,0.04365245,Monitor,train
L000384,2024-01-01,0,0.03618222,Monitor,train
L000385,2024-01-01,0,0.0379428,Monitor,train
L000386,2024-01-01,0,0.03309726,Low,train
L000387,2024-01-01,0,0.02859434,Low,train
L000388,2024-01-01,0,0.03161547,Low,train
L000389,2024-01-01,0,0.02823902,Low,train
L000390,2024-01-01,0,0.02525855,Low,train
L000391,2024-01-01,0,0.02805023,Low,train
L000392,2024-01-01,0,0.02455074,Low,train
L000393,2024-01-01,0,0.0377286,Monitor,train
L000394,2024-01-01,0,0.05269602,High,train
L000395,2024-01-01,0,0.04253483,Monitor,train
L000396,2024-01-01,0,0.03386173,Low,train
L000397,2024-01-01,0,0.03025029,Low,train
L000398,2024-01-01,0,0.03529354,Monitor,train
L000399,2024-01-01,0,0.02459201,Low,train
L000400,2024-01-01,0,0.03041825,Low,train
L000401,2024-01-01,0,0.05355759,High,train
L000402,2024-01-01,0,0.03444341,Low,train
L000403,2024-01-01,0,0.02741892,Low,train
L000404,2024-01-01,0,0.0264856,Low,train
L000405,2024-01-01,0,0.03550323,Monitor,train
L000406,2024-01-01,0,0.02518863,Low,train
L000407,2024-01-01,0,0.03692123,Monitor,train
L000408,2024-01-01,0,0.02143401,Low,train
L000409,2024-01-01,0,0.04297076,Monitor,train
L000410,2024-01-01,0,0.04291891,Monitor,train
L000411,2024-01-01,0,0.03006485,Low,train
L000412,2024-01-01,0,0.03560595,Monitor,train
L000413,2024-01-01,0,0.05543065,High,train
L000414,2024-01-01,0,0.0355709,Monitor,train
L000415,2024-01-01,0,0.02368852,Low,train
L000416,2024-01-01,0,0.03696532,Monitor,train
L000417,2024-01-01,0,0.10650654,Critical,train
L000418,2024-01-01,0,0.0220585,Low,train
L000419,2024-01-01,0,0.02659811,Low,train
L000420,2024-01-01,0,0.03685323,Monitor,train
L000421,2024-01-01,1,0.05020942,High,train
L000422,2024-01-01,0,0.08317783,High,train
L000423,2024-01-01,0,0.03307444,Low,train
L000424,2024-01-01,0,0.02952244,Low,train
L000425,2024-01-01,0,0.04344994,Monitor,train
L000426,2024-01-01,0,0.03275352,Low,train
L000427,2024-01-01,0,0.11055134,Critical,train
L000428,2024-01-01,0,0.03719144,Monitor,train
L000429,2024-01-01,0,0.02882803,Low,train
L000430,2024-01-01,0,0.04741894,High,train
L000431,2024-01-01,0,0.03684058,Monitor,train
L000432,2024-01-01,0,0.03237282,Low,train
L000433,2024-01-01,0,0.03115421,Low,train
L000434,2024-01-01,0,0.04353164,Monitor,train
L000435,2024-01-01,0,0.03339087,Low,train
L000436,2024-01-01,0,0.03536203,Monitor,train
L000437,2024-01-01,0,0.04012972,Monitor,train
L000438,2024-01-01,0,0.03096488,Low,train
L000439,2024-01-01,0,0.11677616,Critical,train
L000440,2024-01-01,0,0.03122781,Low,train
L000441,2024-01-01,0,0.02383782,Low,train
L000442,2024-01-01,0,0.02744305,Low,train
L000443,2024-01-01,0,0.03607044,Monitor,train
L000444,2024-01-01,0,0.03128274,Low,train
L000445,2024-01-01,0,0.07473464,High,train
L000446,2024-01-01,0,0.03146126,Low,train
L000447,2024-01-01,0,0.02661864,Low,train
L000448,2024-01-01,0,0.02814032,Low,train
L000449,2024-01-01,0,0.03026377,Low,train
L000450,2024-01-01,0,0.04752719,High,train
L000451,2024-01-01,0,0.03358851,Low,train
L000452,2024-01-01,0,0.02461168,Low,train
L000453,2024-01-01,0,0.0454022,Monitor,train
L000454,2024-01-01,0,0.0387198,Monitor,train
L000455,2024-01-01,0,0.03095943,Low,train
L000456,2024-01-01,0,0.04106445,Monitor,train
L000457,2024-01-01,0,0.03393435,Low,train
L000458,2024-01-01,0,0.03858615,Monitor,train
L000459,2024-01-01,0,0.03195857,Low,train
L000460,2024-01-01,0,0.10784736,Critical,train
L000461,2024-01-01,0,0.02603418,Low,train
L000462,2024-01-01,0,0.0345577,Low,train
L000463,2024-01-01,0,0.03156714,Low,train
L000464,2024-01-01,0,0.02965881,Low,train
L000465,2024-01-01,0,0.04090442,Monitor,train
L000466,2024-01-01,0,0.03686619,Monitor,train
L000467,2024-01-01,0,0.03820885,Monitor,train
L000468,2024-01-01,0,0.04430051,Monitor,train
L000469,2024-01-01,0,0.02534452,Low,train
L000470,2024-01-01,0,0.0392984,Monitor,train
L000471,2024-01-01,0,0.04234472,Monitor,train
L000472,2024-01-01,0,0.04592968,High,train
L000473,2024-01-01,0,0.0359193,Monitor,train
L000474,2024-01-01,0,0.03317495,Low,train
L000475,2024-01-01,0,0.03228587,Low,train
L000476,2024-01-01,0,0.02838453,Low,train
L000477,2024-01-01,0,0.0497926,High,train
L000478,2024-01-01,0,0.04171378,Monitor,train
L000479,2024-01-01,0,0.03319125,Low,train
L000480,2024-01-01,0,0.04056742,Monitor,train
L000481,2024-01-01,0,0.03436707,Low,train
L000482,2024-01-01,0,0.02418906,Low,train
L000483,2024-01-01,0,0.02531895,Low,train
L000484,2024-01-01,0,0.03412018,Low,train
L000485,2024-01-01,0,0.04733591,High,train
L000486,2024-01-01,0,0.03409035,Low,train
L000487,2024-01-01,0,0.04638871,High,train
L000488,2024-01-01,0,0.03204857,Low,train
L000489,2024-01-01,0,0.03157017,Low,train
L000490,2024-01-01,0,0.02461186,Low,train
L000491,2024-01-01,0,0.03650248,Monitor,train
L000492,2024-01-01,0,0.06252899,High,train
L000493,2024-01-01,0,0.02993648,Low,train
L000494,2024-01-01,0,0.03005779,Low,train
L000495,2024-01-01,0,0.0296024,Low,train
L000496,2024-01-01,0,0.15419042,Critical,train
L000497,2024-01-01,0,0.43042522,Critical,train
L000498,2024-01-01,0,0.02483751,Low,train
L000499,2024-01-01,0,0.03177678,Low,train
L000500,2024-01-01,0,0.03754239,Monitor,train
L000501,2024-01-01,0,0.02947735,Low,train
L000502,2024-01-01,0,0.03277974,Low,train
L000503,2024-01-01,0,0.02599681,Low,train
L000504,2024-01-01,0,0.03380594,Low,train
L000505,2024-01-01,0,0.03394577,Low,train
L000506,2024-01-01,0,0.0294901,Low,train
L000507,2024-01-01,0,0.02603529,Low,train
L000508,2024-01-01,0,0.02902597,Low,train
L000509,2024-01-01,0,0.04156729,Monitor,train
L000510,2024-01-01,0,0.02578905,Low,train
L000511,2024-01-01,0,0.02654707,Low,train
L000512,2024-01-01,0,0.02168885,Low,train
L000513,2024-01-01,0,0.03607543,Monitor,train
L000514,2024-01-01,0,0.02209086,Low,train
L000515,2024-01-01,0,0.03628459,Monitor,train
L000516,2024-01-01,0,0.02670444,Low,train
L000517,2024-01-01,0,0.0346402,Monitor,train
L000518,2024-01-01,0,0.02392079,Low,train
L000519,2024-01-01,0,0.03197176,Low,train
L000520,2024-01-01,0,0.04387624,Monitor,train
L000521,2024-01-01,0,0.03260475,Low,train
L000522,2024-01-01,0,0.0273394,Low,train
L000523,2024-01-01,0,0.02587124,Low,train
L000524,2024-01-01,0,0.04078487,Monitor,train
L000525,2024-01-01,0,0.04051565,Monitor,train
L000526,2024-01-01,0,0.04850633,High,train
L000527,2024-01-01,0,0.02539613,Low,train
L000528,2024-01-01,0,0.02714731,Low,train
L000529,2024-01-01,0,0.02447639,Low,train
L000530,2024-01-01,0,0.04190793,Monitor,train
L000531,2024-01-01,0,0.04038115,Monitor,train
L000532,2024-01-01,0,0.03139001,Low,train
L000533,2024-01-01,0,0.0401072,Monitor,train
L000534,2024-01-01,0,0.03958651,Monitor,train
L000535,2024-01-01,0,0.04362518,Monitor,train
L000536,2024-01-01,0,0.02982873,Low,train
L000537,2024-01-01,0,0.02951253,Low,train
L000538,2024-01-01,0,0.03044578,Low,train
L000539,2024-01-01,0,0.03738839,Monitor,train
L000540,2024-01-01,0,0.02462342,Low,train
L000541,2024-01-01,0,0.03124927,Low,train
L000542,2024-01-01,0,0.05337203,High,train
L000543,2024-01-01,0,0.06205011,High,train
L000544,2024-01-01,1,0.03941309,Monitor,train
L000545,2024-01-01,0,0.0334703,Low,train
L000546,2024-01-01,0,0.04118635,Monitor,train
L000547,2024-01-01,0,0.04745731,High,train
L000548,2024-01-01,0,0.03529572,Monitor,train
L000549,2024-01-01,0,0.03317019,Low,train
L000550,2024-01-01,0,0.03135263,Low,train
L000551,2024-01-01,0,0.03392884,Low,train
L000552,2024-01-01,0,0.02865391,Low,train
L000553,2024-01-01,0,0.02849714,Low,train
L000554,2024-01-01,0,0.03039136,Low,train
L000555,2024-01-01,0,0.02073822,Low,train
L000556,2024-01-01,0,0.0393939,Monitor,train
L000557,2024-01-01,0,0.02791191,Low,train
L000558,2024-01-01,0,0.02899006,Low,train
L000559,2024-01-01,0,0.05394078,High,train
L000560,2024-01-01,0,0.14065925,Critical,train
L000561,2024-01-01,0,0.03107556,Low,train
L000562,2024-01-01,0,0.03988179,Monitor,train
L000563,2024-01-01,0,0.03303932,Low,train
L000564,2024-01-01,0,0.03017025,Low,train
L000565,2024-01-01,0,0.02404067,Low,train
L000566,2024-01-01,0,0.02853138,Low,train
L000567,2024-01-01,0,0.03161035,Low,train
L000568,2024-01-01,0,0.02929697,Low,train
